x,y,cluster,trend,value,set,residual
0.0,0.0,0,562.8179831223097,474.224075,1,-88.59390812230964
1.0,0.0,0,568.9209283478558,,0,
2.0,0.0,0,573.9107352537103,,0,
3.0,0.0,0,574.141895705834,,0,
4.0,0.0,0,565.7691982332617,634.226889,1,68.45769076673832
5.0,0.0,0,543.8929826286621,,0,
6.0,0.0,0,506.97905170731246,,0,
7.0,0.0,0,452.38988893455826,,0,
8.0,0.0,0,379.4246419579722,543.684405,1,164.25976304202777
9.0,0.0,0,293.84423730010167,,0,
10.0,0.0,0,202.1751957363449,,0,
11.0,0.0,0,109.87359555531293,,0,
12.0,0.0,0,22.266292093787342,-36.874397,1,-59.140689093787344
13.0,0.0,0,-55.260473233880475,,0,
14.0,0.0,0,-121.85606929776259,,0,
15.0,0.0,0,-177.50769345252775,,0,
16.0,0.0,0,-222.42546136700548,-295.860241,1,-73.43477963299449
17.0,0.0,0,-256.30549622746184,,0,
18.0,0.0,0,-283.22195914387703,,0,
19.0,0.0,0,-306.80716378148645,,0,
20.0,0.0,0,-329.84462344204076,-179.250285,1,150.59433844204077
21.0,0.0,0,-353.0470111556351,,0,
22.0,0.0,0,-376.2800334431231,,0,
23.0,0.0,0,-399.17965940386057,,0,
24.0,0.0,0,-420.96505697467364,-512.422377,1,-91.45732002532634
25.0,0.0,0,-440.00219109561294,,0,
26.0,0.0,0,-454.5770294535905,,0,
27.0,0.0,0,-463.1329506179318,,0,
28.0,0.0,0,-464.44264460681006,-450.253056,1,14.189588606810048
29.0,0.0,0,-458.31848822452594,,0,
30.0,0.0,0,-445.4836801716592,,0,
31.0,0.0,0,-427.7905494758161,,0,
32.0,0.0,0,-408.737791151274,-306.832567,1,101.90522415127401
33.0,0.0,0,-393.84776662499644,,0,
34.0,0.0,0,-383.9324189454783,,0,
35.0,0.0,0,-382.4053997839801,,0,
36.0,0.0,0,-392.7646677994635,-269.85286,1,122.91180779946347
37.0,0.0,0,-413.3655188106932,,0,
38.0,0.0,0,-441.65507615276147,,0,
39.0,0.0,0,-475.9291108782636,,0,
40.0,0.0,0,-514.9515693231951,-277.807808,1,237.14376132319512
41.0,0.0,0,-557.8886154063512,,0,
42.0,0.0,0,-603.8732028350933,,0,
43.0,0.0,0,-652.3503765347414,,0,
44.0,0.0,0,-702.658733318327,-448.97593,1,253.682803318327
45.0,0.0,0,-751.7790594541002,,0,
46.0,0.0,0,-795.7900661462918,,0,
47.0,0.0,0,-831.0914574542549,,0,
48.0,0.0,0,-855.9193727471866,-834.016074,1,21.903298747186568
49.0,0.0,0,-871.6082356071565,,0,
50.0,0.0,0,-879.3102055699565,,0,
51.0,0.0,0,-878.9960588873364,,0,
52.0,0.0,0,-870.5029984756839,-792.819358,1,77.68364047568389
53.0,0.0,0,-854.9461527897511,,0,
54.0,0.0,0,-834.1048859609291,,0,
55.0,0.0,0,-809.1248432962457,,0,
56.0,0.0,0,-779.6859686492244,-767.857072,1,11.828896649224362
57.0,0.0,0,-745.0300746902358,,0,
58.0,0.0,0,-704.1507704679389,,0,
59.0,0.0,0,-656.116643271409,,0,
60.0,0.0,0,-600.9770975656575,-570.530454,1,30.446643565657496
61.0,0.0,0,-539.9642385829356,,0,
62.0,0.0,0,-473.835335437092,,0,
63.0,0.0,0,-402.02606191288214,,0,
64.0,0.0,0,-324.0591813060455,-440.568104,1,-116.5089226939545
65.0,0.0,0,-242.70545116974972,,0,
66.0,0.0,0,-160.27937216265127,,0,
67.0,0.0,0,-77.08123945235275,,0,
68.0,0.0,0,8.053031306248158,-81.994134,1,-90.04716530624816
69.0,0.0,0,97.12720747926505,,0,
70.0,0.0,0,186.10839033452794,,0,
71.0,0.0,0,270.43634275114164,,0,
72.0,0.0,0,344.22438636090374,410.148254,1,65.92386763909627
73.0,0.0,0,400.0951592971105,,0,
74.0,0.0,0,434.74238601722755,,0,
75.0,0.0,0,445.2051430065185,,0,
76.0,0.0,0,427.627699636505,727.386687,1,299.75898736349507
77.0,0.0,0,375.7580378841376,,0,
78.0,0.0,0,301.28663732128916,,0,
79.0,0.0,0,213.62022400234127,,0,
80.0,0.0,0,121.04516801497084,37.125652,1,-83.91951601497084
81.0,0.0,0,31.794916275073774,,0,
82.0,0.0,0,-51.815323593327776,,0,
83.0,0.0,0,-127.81153426342644,,0,
84.0,0.0,0,-194.58704320143443,8.115114,1,202.70215720143443
85.0,0.0,0,-250.83254626078997,,0,
86.0,0.0,0,-296.0310656009242,,0,
87.0,0.0,0,-330.4266764164786,,0,
88.0,0.0,0,-354.84959709248506,-372.073892,1,-17.224294907514945
89.0,0.0,0,-371.26873966515996,,0,
90.0,0.0,0,-381.6814371132059,,0,
91.0,0.0,0,-387.9360764827579,,0,
92.0,0.0,0,-391.45092303078854,-351.902892,1,39.548031030788536
93.0,0.0,0,-392.2022696528584,,0,
94.0,0.0,0,-389.7208041085396,,0,
95.0,0.0,0,-383.8536044714274,,0,
96.0,0.0,0,-375.4305943964864,-258.137721,1,117.29287339648641
97.0,0.0,0,-366.56117572159565,,0,
98.0,0.0,0,-359.03472480081837,,0,
99.0,0.0,0,-353.8005655624438,,0,
100.0,0.0,0,-351.8662105894182,-252.379389,1,99.48682158941818
101.0,0.0,0,-355.34838938328903,,0,
102.0,0.0,0,-361.16110049033887,,0,
103.0,0.0,0,-368.1692604839918,,0,
104.0,0.0,0,-376.6036943466461,-418.693301,1,-42.08960665335394
105.0,0.0,0,-386.01283423410496,,0,
106.0,0.0,0,-396.58939055746305,,0,
107.0,0.0,0,-406.02903372060973,,0,
108.0,0.0,0,-410.17373927178414,-509.47614,1,-99.30240072821584
109.0,0.0,0,-403.82870480418205,,0,
110.0,0.0,0,-388.24101338291075,,0,
111.0,0.0,0,-365.4268882747274,,0,
112.0,0.0,0,-340.0591968620429,-149.963232,1,190.09596486204288
113.0,0.0,0,-319.7789204263827,,0,
114.0,0.0,0,-301.55617125923163,,0,
115.0,0.0,0,-284.21593380812556,,0,
116.0,0.0,0,-267.9298778481316,-162.879975,1,105.04990284813158
117.0,0.0,0,-254.7688817161834,,0,
118.0,0.0,0,-242.20888576860307,,0,
119.0,0.0,0,-230.247547184641,,0,
120.0,0.0,0,-221.22108374087838,-40.037057,1,181.18402674087838
121.0,0.0,0,-219.57288623636123,,0,
122.0,0.0,0,-219.06702636898262,,0,
123.0,0.0,0,-214.64445758285,,0,
124.0,0.0,0,-203.56025438511278,-467.913713,1,-264.3534586148872
125.0,0.0,0,-188.40900618571322,,0,
126.0,0.0,0,-171.4936411299277,,0,
127.0,0.0,0,-152.33534655661788,,0,
128.0,0.0,0,-130.2702622745419,-536.922796,1,-406.65253372545806
129.0,0.0,0,-109.19334203889593,,0,
130.0,0.0,0,-91.89197522372706,,0,
131.0,0.0,0,-77.27829996845685,,0,
132.0,0.0,0,-63.13031015312299,-100.3713,1,-37.240989846877014
133.0,0.0,0,-51.46708308788948,,0,
134.0,0.0,0,-44.50049965293147,,0,
135.0,0.0,0,-43.425391758210026,,0,
136.0,0.0,0,-50.56706730090082,194.130635,1,244.69770230090083
137.0,0.0,0,-71.12181307806168,,0,
138.0,0.0,0,-96.82539894757792,,0,
139.0,0.0,0,-122.29242912656628,,0,
140.0,0.0,0,-144.0874732939992,-80.460222,1,63.62725129399921
141.0,0.0,0,-160.65082883974537,,0,
142.0,0.0,0,-168.79703766934108,,0,
143.0,0.0,0,-168.57975867966888,,0,
144.0,0.0,0,-163.80951336806174,54.862272,1,218.67178536806173
145.0,0.0,0,-162.4297723735217,,0,
146.0,0.0,0,-161.5063866614364,,0,
147.0,0.0,0,-161.67802991624922,,0,
148.0,0.0,0,-165.45213854138274,-192.881905,1,-27.42976645861725
149.0,0.0,0,-175.4720757440664,,0,
150.0,0.0,0,-195.61562015721574,,0,
151.0,0.0,0,-228.0502224653028,,0,
152.0,0.0,0,-272.0036111685913,-154.18491,1,117.8187011685913
153.0,0.0,0,-323.6993969057221,,0,
154.0,0.0,0,-378.1039915466681,,0,
155.0,0.0,0,-430.4478651152458,,0,
156.0,0.0,0,-477.4548315485008,-425.328445,1,52.12638654850082
157.0,0.0,0,-517.3551218560897,,0,
158.0,0.0,0,-546.5342510030605,,0,
159.0,0.0,0,-563.7570097038988,,0,
160.0,0.0,0,-570.3766099214554,-445.432528,1,124.94408192145539
