x,y,cluster,trend,value,set,residual
0.0,0.0,0,565.984628723003,474.224075,1,-91.76055372300294
1.0,0.0,0,567.7400921918452,,0,
2.0,0.0,0,567.8754154013004,,0,
3.0,0.0,0,562.6027761539444,,0,
4.0,0.0,0,548.6536519564688,634.226889,1,85.57323704353121
5.0,0.0,0,524.1791534149088,,0,
6.0,0.0,0,487.43604904506356,,0,
7.0,0.0,0,437.01201594038866,,0,
8.0,0.0,0,372.0884119956754,543.684405,1,171.59599300432455
9.0,0.0,0,290.8490575198084,,0,
10.0,0.0,0,201.32980731572025,,0,
11.0,0.0,0,109.83558137062937,,0,
12.0,0.0,0,21.498630054062232,-36.874397,1,-58.373027054062234
13.0,0.0,0,-59.401020204415545,,0,
14.0,0.0,0,-129.45305012725294,,0,
15.0,0.0,0,-186.92265015118755,,0,
16.0,0.0,0,-232.2480916432105,-295.860241,1,-63.61214935678947
17.0,0.0,0,-266.3912500492297,,0,
18.0,0.0,0,-294.02352313965093,,0,
19.0,0.0,0,-319.2689458387904,,0,
20.0,0.0,0,-345.2434644224122,-179.250285,1,165.99317942241223
21.0,0.0,0,-372.51852701837197,,0,
22.0,0.0,0,-400.37890331458766,,0,
23.0,0.0,0,-427.3908319831826,,0,
24.0,0.0,0,-451.265022453852,-512.422377,1,-61.157354546147985
25.0,0.0,0,-468.85275242943317,,0,
26.0,0.0,0,-480.44799599045655,,0,
27.0,0.0,0,-485.7622767682187,,0,
28.0,0.0,0,-484.4908936752472,-450.253056,1,34.23783767524719
29.0,0.0,0,-477.0709135555662,,0,
30.0,0.0,0,-462.9071118197171,,0,
31.0,0.0,0,-443.0593857970089,,0,
32.0,0.0,0,-419.54223255533725,-306.832567,1,112.70966555533727
33.0,0.0,0,-393.9715157712344,,0,
34.0,0.0,0,-368.5879142276244,,0,
35.0,0.0,0,-346.5966571290046,,0,
36.0,0.0,0,-331.8675916385837,-269.85286,1,62.01473163858367
37.0,0.0,0,-328.5562211172073,,0,
38.0,0.0,0,-336.42747474985663,,0,
39.0,0.0,0,-355.00095652532764,,0,
40.0,0.0,0,-384.00647260132246,-277.807808,1,106.19866460132243
41.0,0.0,0,-423.88218651362695,,0,
42.0,0.0,0,-468.90696702653076,,0,
43.0,0.0,0,-515.4974247284699,,0,
44.0,0.0,0,-563.1980776111595,-448.97593,1,114.22214761115953
45.0,0.0,0,-613.8708557282807,,0,
46.0,0.0,0,-663.1645457108971,,0,
47.0,0.0,0,-708.1373743918375,,0,
48.0,0.0,0,-746.1316037119832,-834.016074,1,-87.88447028801681
49.0,0.0,0,-773.6193775432184,,0,
50.0,0.0,0,-792.0534409095999,,0,
51.0,0.0,0,-802.0436149640009,,0,
52.0,0.0,0,-803.9870693413541,-792.819358,1,11.167711341354106
53.0,0.0,0,-798.7770782230073,,0,
54.0,0.0,0,-787.1030087150866,,0,
55.0,0.0,0,-769.2498638646211,,0,
56.0,0.0,0,-744.5473893993767,-767.857072,1,-23.30968260062332
57.0,0.0,0,-712.9554163326975,,0,
58.0,0.0,0,-674.6148617201252,,0,
59.0,0.0,0,-629.4406237457879,,0,
60.0,0.0,0,-577.5324282173533,-570.530454,1,7.001974217353336
61.0,0.0,0,-520.2307164357044,,0,
62.0,0.0,0,-458.6273533827043,,0,
63.0,0.0,0,-392.9302929674741,,0,
64.0,0.0,0,-322.14068373374175,-440.568104,1,-118.42742026625825
65.0,0.0,0,-243.67873425851576,,0,
66.0,0.0,0,-161.39769289433025,,0,
67.0,0.0,0,-77.03215738455765,,0,
68.0,0.0,0,10.117238932987675,-81.994134,1,-92.11137293298768
69.0,0.0,0,102.25772181060165,,0,
70.0,0.0,3,195.77408639487112,,0,
71.0,0.0,3,286.5244960907148,,0,
72.0,0.0,3,368.5190310161561,410.148254,1,41.62922298384393
73.0,0.0,3,433.4695521077374,,0,
74.0,0.0,3,474.4428812874248,,0,
75.0,0.0,3,485.8842207954731,,0,
76.0,0.0,3,465.51548467506655,727.386687,1,261.8712023249335
77.0,0.0,3,411.0139047233388,,0,
78.0,0.0,3,335.11462177097565,,0,
79.0,0.0,3,247.561102278647,,0,
80.0,0.0,3,156.82697166333674,37.125652,1,-119.70131966333673
81.0,0.0,3,71.60015181649942,,0,
82.0,0.0,3,-7.319699911808129,,0,
83.0,0.0,3,-79.12402207474224,,0,
84.0,0.0,3,-144.2883998559555,8.115114,1,152.4035138559555
85.0,0.0,3,-205.7534642184619,,0,
86.0,0.0,3,-258.81009137950605,,0,
87.0,0.0,3,-301.231147267099,,0,
88.0,0.0,3,-332.6374642056762,-372.073892,1,-39.43642779432378
89.0,0.0,3,-354.76294903748203,,0,
90.0,0.0,3,-369.7442683557456,,0,
91.0,0.0,3,-379.61628347309306,,0,
92.0,0.0,3,-385.99765697232215,-351.902892,1,34.09476497232214
93.0,0.0,3,-389.12638450349914,,0,
94.0,0.0,3,-388.8108586083399,,0,
95.0,0.0,3,-385.18642985849874,,0,
96.0,0.0,3,-379.3959190947935,-258.137721,1,121.2581980947935
97.0,0.0,3,-373.9131860700436,,0,
98.0,0.0,3,-371.09210105764214,,0,
99.0,0.0,3,-372.8514200669888,,0,
100.0,0.0,3,-380.06174430964165,-252.379389,1,127.68235530964165
101.0,0.0,3,-390.54496687604114,,0,
102.0,0.0,3,-401.78422136965673,,0,
103.0,0.0,3,-411.9894227042096,,0,
104.0,0.0,3,-420.27773165068356,-418.693301,1,1.5844306506835437
105.0,0.0,3,-427.074852755497,,0,
106.0,0.0,3,-432.5238867172593,,0,
107.0,0.0,3,-435.67531134255114,,0,
108.0,0.0,3,-434.1100897269207,-509.47614,1,-75.36605027307928
109.0,0.0,3,-424.27552946063224,,0,
110.0,0.0,3,-407.30209019506583,,0,
111.0,0.0,3,-384.98095468376414,,0,
112.0,0.0,3,-361.8350656692637,-149.963232,1,211.8718336692637
113.0,0.0,3,-345.76013076334493,,0,
114.0,0.0,3,-333.1789281499514,,0,
115.0,0.0,3,-323.09573432503385,,0,
116.0,0.0,3,-315.221330145956,-162.879975,1,152.34135514595602
117.0,0.0,3,-308.29841398616554,,0,
118.0,0.0,3,-302.1303520654328,,0,
119.0,0.0,3,-298.0673950368073,,0,
120.0,0.0,3,-297.31462188626756,-40.037057,1,257.27756488626756
121.0,0.0,3,-298.35523705970263,,0,
122.0,0.0,3,-299.36547684911056,,0,
123.0,0.0,3,-299.04165142559214,,0,
124.0,0.0,3,-295.39505524595734,-467.913713,1,-172.51865775404264
125.0,0.0,3,-284.37912591919303,,0,
126.0,0.0,3,-270.9985664099222,,0,
127.0,0.0,3,-257.0355896734982,,0,
128.0,0.0,3,-240.13662242464488,-536.922796,1,-296.78617357535506
129.0,0.0,3,-213.13726575416513,,0,
130.0,0.0,3,-184.03974600083893,,0,
131.0,0.0,3,-155.5303475521505,,0,
132.0,0.0,1,-127.59937579673715,-100.3713,1,27.228075796737144
133.0,0.0,1,-102.30509977508336,,0,
134.0,0.0,1,-81.34066327637993,,0,
135.0,0.0,1,-65.76344680943293,,0,
136.0,0.0,1,-58.28345781646203,194.130635,1,252.41409281646204
137.0,0.0,1,-64.77626339986455,,0,
138.0,0.0,1,-77.30878617451526,,0,
139.0,0.0,1,-91.35622568824328,,0,
140.0,0.0,1,-104.15014188014902,-80.460222,1,23.68991988014902
141.0,0.0,1,-112.33398422331084,,0,
142.0,0.0,1,-113.74078126554377,,0,
143.0,0.0,1,-108.32436849921942,,0,
144.0,0.0,1,-98.79028200195171,54.862272,1,153.6525540019517
145.0,0.0,1,-91.17964676395059,,0,
146.0,0.0,1,-84.85509831889067,,0,
147.0,0.0,1,-83.38335073157214,,0,
148.0,0.0,1,-91.74484266573563,-192.881905,1,-101.13706233426436
149.0,0.0,1,-111.18192569050007,,0,
150.0,0.0,1,-142.03474261495285,,0,
151.0,0.0,1,-184.2299777737935,,0,
152.0,0.0,1,-236.06352156039793,-154.18491,1,81.87861156039793
153.0,0.0,1,-294.5159863096196,,0,
154.0,0.0,1,-355.9256425029016,,0,
155.0,0.0,1,-416.434145354433,,0,
156.0,0.0,1,-472.43309754971415,-425.328445,1,47.10465254971416
157.0,0.0,1,-521.2090839878656,,0,
158.0,0.0,1,-558.6187669900246,,0,
159.0,0.0,1,-582.9127030691598,,0,
160.0,0.0,1,-593.9018116219668,-445.432528,1,148.46928362196678
161.0,0.0,1,-591.4578078875784,,0,
162.0,0.0,1,-576.1053318541963,,0,
163.0,0.0,1,-549.5071199056692,,0,
164.0,0.0,1,-513.7985293534584,-462.833688,1,50.96484135345844
165.0,0.0,1,-470.2816602799576,,0,
166.0,0.0,1,-421.5415631458163,,0,
167.0,0.0,1,-372.60537839028984,,0,
168.0,0.0,1,-331.57091051491443,-78.945016,1,252.62589451491442
169.0,0.0,1,-310.0004066277761,,0,
170.0,0.0,2,-305.2314211097546,,0,
171.0,0.0,2,-317.39616183703765,,0,
172.0,0.0,2,-346.496244254522,36.804026,1,383.30027025452205
173.0,0.0,2,-386.93392435158603,,0,
174.0,0.0,2,-431.76525431871414,,0,
175.0,0.0,2,-474.4130651875166,,0,
176.0,0.0,2,-509.77122283086646,-592.861293,1,-83.09007016913358
177.0,0.0,2,-536.9224770055152,,0,
178.0,0.0,2,-555.4299730617786,,0,
179.0,0.0,2,-563.4682823210023,,0,
180.0,0.0,2,-559.499441107735,-762.878067,1,-203.37862589226495
181.0,0.0,2,-546.6453340465669,,0,
182.0,0.0,2,-528.6054633106105,,0,
183.0,0.0,2,-508.51986953930464,,0,
184.0,0.0,2,-489.8748342350591,-394.644113,1,95.2307212350591
185.0,0.0,2,-476.88272289466113,,0,
186.0,0.0,2,-467.9522109560203,,0,
187.0,0.0,2,-461.3783179554157,,0,
188.0,0.0,2,-454.4023754526861,-458.894877,1,-4.492501547313907
189.0,0.0,2,-444.0000598153565,,0,
190.0,0.0,2,-427.1512926318683,,0,
191.0,0.0,2,-401.99293623957783,,0,
192.0,0.0,2,-369.05672629980836,-159.284279,1,209.77244729980836
193.0,0.0,2,-329.9177659130655,,0,
194.0,0.0,2,-285.7928344582906,,0,
195.0,0.0,2,-237.3584050387144,,0,
196.0,0.0,2,-184.69389456743374,-277.883277,1,-93.18938243256628
197.0,0.0,2,-127.30885977204889,,0,
198.0,0.0,2,-70.72958461474627,,0,
199.0,0.0,2,-20.27893208153546,,0,
0.0,1.0,0,556.9115373599343,,0,
1.0,1.0,0,560.2438829103485,,0,
2.0,1.0,0,562.5267603273969,,0,
3.0,1.0,0,559.897284226492,621.134468,1,61.23718377350792
4.0,1.0,0,547.8704443776514,,0,
5.0,1.0,0,525.1221918365918,,0,
6.0,1.0,0,488.9511088640429,,0,
7.0,1.0,0,436.6232011972461,682.988364,1,246.36516280275396
8.0,1.0,0,368.4059000904672,,0,
9.0,1.0,0,285.69372103735805,,0,
10.0,1.0,0,193.97665821609553,,0,
11.0,1.0,0,99.94249079329893,93.67507,1,-6.267420793298925
12.0,1.0,0,9.639107646187767,,0,
13.0,1.0,0,-72.20401976723224,,0,
14.0,1.0,0,-141.37706281698775,,0,
15.0,1.0,0,-195.16574422304984,-363.506878,1,-168.34113377695013
16.0,1.0,0,-235.69921724731103,,0,
17.0,1.0,0,-265.9263346227817,,0,
