x,y,value,trend,cluster,set
542557.731488,6811124.801129,,893.4021470528096,-1.0,-1
542607.731488,6811124.801129,,886.8235315401107,-1.0,-1
542657.731488,6811124.801129,,880.1871256865561,-1.0,-1
542707.731488,6811124.801129,,873.4909679442644,-1.0,-1
542757.731488,6811124.801129,,866.7330374270678,-1.0,-1
542807.731488,6811124.801129,,859.9112547002733,-1.0,-1
542857.731488,6811124.801129,,853.0234821662307,-1.0,-1
542907.731488,6811124.801129,,846.067525469698,-1.0,-1
542957.731488,6811124.801129,,839.0411345753819,-1.0,-1
543007.731488,6811124.801129,,831.9420054685324,-1.0,-1
543057.731488,6811124.801129,,824.7677820753306,-1.0,-1
543107.731488,6811124.801129,,817.516058396548,-1.0,-1
543157.731488,6811124.801129,,810.1843814365566,-1.0,-1
543207.731488,6811124.801129,,802.7702539879829,-1.0,-1
543257.731488,6811124.801129,,795.2711381390691,-1.0,-1
543307.731488,6811124.801129,,787.6844591777772,-1.0,-1
543357.731488,6811124.801129,,780.0076100677252,-1.0,-1
543407.731488,6811124.801129,,772.2379561252892,-1.0,-1
543457.731488,6811124.801129,,764.372840501368,-1.0,-1
543507.731488,6811124.801129,,756.4095900803804,-1.0,-1
543557.731488,6811124.801129,,748.3455219492316,-1.0,-1
543607.731488,6811124.801129,,740.1779504939914,-1.0,-1
543657.731488,6811124.801129,,731.9041948765516,-1.0,-1
543707.731488,6811124.801129,,723.5215876032598,-1.0,-1
543757.731488,6811124.801129,,715.027483202517,-1.0,-1
543807.731488,6811124.801129,,706.4192677997053,-1.0,-1
543857.731488,6811124.801129,,697.6943692844361,-1.0,-1
543907.731488,6811124.801129,,688.8502681516111,-1.0,-1
543957.731488,6811124.801129,,679.8845088556409,-1.0,-1
544007.731488,6811124.801129,,670.7947118934244,-1.0,-1
544057.731488,6811124.801129,,661.5785864591599,-1.0,-1
544107.731488,6811124.801129,,652.2339436896145,-1.0,-1
544157.731488,6811124.801129,,642.7587102334946,-1.0,-1
544207.731488,6811124.801129,,633.1509428322315,-1.0,-1
544257.731488,6811124.801129,,623.4088426195085,-1.0,-1
544307.731488,6811124.801129,,613.5307704471052,-1.0,-1
544357.731488,6811124.801129,,603.5152621697634,-1.0,-1
544407.731488,6811124.801129,,593.3610441926867,-1.0,-1
544457.731488,6811124.801129,,583.0670494288206,-1.0,-1
544507.731488,6811124.801129,,572.6324327965267,-1.0,-1
544557.731488,6811124.801129,,562.0565872071311,-1.0,-1
544607.731488,6811124.801129,,551.3391590043902,-1.0,-1
544657.731488,6811124.801129,,540.4800631254911,-1.0,-1
544707.731488,6811124.801129,,529.4794980213046,-1.0,-1
544757.731488,6811124.801129,,518.337959850207,-1.0,-1
544807.731488,6811124.801129,,507.05625598691404,-1.0,-1
544857.731488,6811124.801129,,495.63551764190197,-1.0,-1
544907.731488,6811124.801129,,484.07721153087914,-1.0,-1
544957.731488,6811124.801129,,472.3831503354013,-1.0,-1
545007.731488,6811124.801129,,460.5555019453168,-1.0,-1
545057.731488,6811124.801129,,448.59679709747434,-1.0,-1
545107.731488,6811124.801129,,436.5099357664585,-1.0,-1
545157.731488,6811124.801129,,424.2981915175915,-1.0,-1
545207.731488,6811124.801129,,411.9652143139392,-1.0,-1
545257.731488,6811124.801129,,399.515031427145,-1.0,-1
545307.731488,6811124.801129,,386.95204633148387,-1.0,-1
545357.731488,6811124.801129,,374.2810356495902,-1.0,-1
545407.731488,6811124.801129,,361.5071441764012,-1.0,-1
545457.731488,6811124.801129,,348.63587772101164,-1.0,-1
545507.731488,6811124.801129,,335.67309396341443,-1.0,-1
545557.731488,6811124.801129,,322.62499166093767,-1.0,-1
545607.731488,6811124.801129,,309.4980975855142,-1.0,-1
545657.731488,6811124.801129,,296.2992520481348,-1.0,-1
545707.731488,6811124.801129,,283.0355925108306,-1.0,-1
545757.731488,6811124.801129,,269.71453603357077,-1.0,-1
545807.731488,6811124.801129,,256.34376026969403,-1.0,-1
545857.731488,6811124.801129,,242.93118347600102,-1.0,-1
545907.731488,6811124.801129,,229.48494366556406,-1.0,-1
545957.731488,6811124.801129,,216.0133772417903,-1.0,-1
546007.731488,6811124.801129,,202.52499727159739,-1.0,-1
546057.731488,6811124.801129,,189.02847187966108,-1.0,-1
546107.731488,6811124.801129,,175.53260271064937,-1.0,-1
546157.731488,6811124.801129,,162.0463040806353,-1.0,-1
546207.731488,6811124.801129,,148.57858295738697,-1.0,-1
546257.731488,6811124.801129,,135.13851991668344,-1.0,-1
546307.731488,6811124.801129,,121.73525167629123,-1.0,-1
546357.731488,6811124.801129,,108.37795498594642,-1.0,-1
546407.731488,6811124.801129,,95.07583251222968,-1.0,-1
546457.731488,6811124.801129,,81.83810049295425,-1.0,-1
546507.731488,6811124.801129,,68.67397862300277,-1.0,-1
546557.731488,6811124.801129,,55.59268195182085,-1.0,-1
546607.731488,6811124.801129,,42.60341483540833,-1.0,-1
546657.731488,6811124.801129,,29.715367117896676,-1.0,-1
546707.731488,6811124.801129,,16.93771191686392,-1.0,-1
546757.731488,6811124.801129,,4.279605075716972,-1.0,-1
546807.731488,6811124.801129,,-8.249814234673977,-1.0,-1
546857.731488,6811124.801129,,-20.641422286629677,-1.0,-1
546907.731488,6811124.801129,,-32.886109539307654,-1.0,-1
546957.731488,6811124.801129,,-44.97478023171425,-1.0,-1
547007.731488,6811124.801129,,-56.898353572934866,-1.0,-1
547057.731488,6811124.801129,,-68.64776792377234,-1.0,-1
547107.731488,6811124.801129,,-80.21398880705237,-1.0,-1
547157.731488,6811124.801129,,-91.5880222376436,-1.0,-1
547207.731488,6811124.801129,,-102.76093496195972,-1.0,-1
547257.731488,6811124.801129,,-113.72388257831335,-1.0,-1
547307.731488,6811124.801129,,-124.46814725035802,-1.0,-1
547357.731488,6811124.801129,,-134.9851862299256,-1.0,-1
547407.731488,6811124.801129,,-145.2666918821633,-1.0,-1
547457.731488,6811124.801129,,-155.30466409772635,-1.0,-1
547507.731488,6811124.801129,,-165.0914949811995,-1.0,-1
547557.731488,6811124.801129,,-174.6200648136437,-1.0,-1
547607.731488,6811124.801129,,-183.8838482312858,-1.0,-1
547657.731488,6811124.801129,,-192.87702734023333,-1.0,-1
547707.731488,6811124.801129,,-201.594608518295,-1.0,-1
547757.731488,6811124.801129,,-210.03253775881603,-1.0,-1
547807.731488,6811124.801129,,-218.18780874460936,-1.0,-1
547857.731488,6811124.801129,,-226.05855709686875,-1.0,-1
547907.731488,6811124.801129,,-233.6441336646676,-1.0,-1
547957.731488,6811124.801129,,-240.9451497849077,-1.0,-1
548007.731488,6811124.801129,,-247.96348831616342,-1.0,-1
548057.731488,6811124.801129,,-254.70227498188615,-1.0,-1
548107.731488,6811124.801129,,-261.1658068904653,-1.0,-1
548157.731488,6811124.801129,,-267.3594364384189,-1.0,-1
548207.731488,6811124.801129,,-273.2894122246653,-1.0,-1
548257.731488,6811124.801129,,-278.9626802653074,-1.0,-1
