x,y,value,trend,cluster,set
542557.731488,6811124.801129,,417.9471616744995,-1.0,-1
542607.731488,6811124.801129,,416.8435851931572,-1.0,-1
542657.731488,6811124.801129,,415.67864978313446,-1.0,-1
542707.731488,6811124.801129,,414.44964814186096,-1.0,-1
542757.731488,6811124.801129,,413.1538256406784,-1.0,-1
542807.731488,6811124.801129,,411.78835609555244,-1.0,-1
542857.731488,6811124.801129,,410.3503529727459,-1.0,-1
542907.731488,6811124.801129,,408.83687925338745,-1.0,-1
542957.731488,6811124.801129,,407.244943857193,-1.0,-1
543007.731488,6811124.801129,,405.57150530815125,-1.0,-1
543057.731488,6811124.801129,,403.8134691119194,-1.0,-1
543107.731488,6811124.801129,,401.9676969051361,-1.0,-1
543157.731488,6811124.801129,,400.03101575374603,-1.0,-1
543207.731488,6811124.801129,,398.00020557641983,-1.0,-1
543257.731488,6811124.801129,,395.8720226883888,-1.0,-1
543307.731488,6811124.801129,,393.6431864500046,-1.0,-1
543357.731488,6811124.801129,,391.3104043006897,-1.0,-1
543407.731488,6811124.801129,,388.8703615665436,-1.0,-1
543457.731488,6811124.801129,,386.3197347521782,-1.0,-1
543507.731488,6811124.801129,,383.65519738197327,-1.0,-1
543557.731488,6811124.801129,,380.8734345436096,-1.0,-1
543607.731488,6811124.801129,,377.97113132476807,-1.0,-1
543657.731488,6811124.801129,,374.9450043141842,-1.0,-1
543707.731488,6811124.801129,,371.79179787635803,-1.0,-1
543757.731488,6811124.801129,,368.5082952976227,-1.0,-1
543807.731488,6811124.801129,,365.0913236141205,-1.0,-1
543857.731488,6811124.801129,,361.537774682045,-1.0,-1
543907.731488,6811124.801129,,357.8446160554886,-1.0,-1
543957.731488,6811124.801129,,354.00888216495514,-1.0,-1
544007.731488,6811124.801129,,350.0277109146118,-1.0,-1
544057.731488,6811124.801129,,345.89834037423134,-1.0,-1
544107.731488,6811124.801129,,341.61812567710876,-1.0,-1
544157.731488,6811124.801129,,337.18454813957214,-1.0,-1
