x,y,value,trend,cluster,set
542557.731488,6811124.801129,,820.598991394043,-1.0,-1
542607.731488,6811124.801129,,816.9254357516766,-1.0,-1
542657.731488,6811124.801129,,813.180664896965,-1.0,-1
542707.731488,6811124.801129,,809.362052321434,-1.0,-1
542757.731488,6811124.801129,,805.4669086933136,-1.0,-1
542807.731488,6811124.801129,,801.4924964904785,-1.0,-1
542857.731488,6811124.801129,,797.4360153675079,-1.0,-1
542907.731488,6811124.801129,,793.2946209907532,-1.0,-1
542957.731488,6811124.801129,,789.0654184222221,-1.0,-1
543007.731488,6811124.801129,,784.7454648017883,-1.0,-1
543057.731488,6811124.801129,,780.3317844867706,-1.0,-1
543107.731488,6811124.801129,,775.8213504552841,-1.0,-1
543157.731488,6811124.801129,,771.2111154794693,-1.0,-1
543207.731488,6811124.801129,,766.4979910850525,-1.0,-1
543257.731488,6811124.801129,,761.6788749694824,-1.0,-1
543307.731488,6811124.801129,,756.7506436109543,-1.0,-1
543357.731488,6811124.801129,,751.7101576924324,-1.0,-1
543407.731488,6811124.801129,,746.5542770922184,-1.0,-1
543457.731488,6811124.801129,,741.2798620462418,-1.0,-1
543507.731488,6811124.801129,,735.883786201477,-1.0,-1
543557.731488,6811124.801129,,730.3629401922226,-1.0,-1
543607.731488,6811124.801129,,724.7142275571823,-1.0,-1
543657.731488,6811124.801129,,718.934620141983,-1.0,-1
543707.731488,6811124.801129,,713.0211011171341,-1.0,-1
543757.731488,6811124.801129,,706.9707391262054,-1.0,-1
543807.731488,6811124.801129,,700.7806512415409,-1.0,-1
543857.731488,6811124.801129,,694.4480447769165,-1.0,-1
543907.731488,6811124.801129,,687.9702118039131,-1.0,-1
543957.731488,6811124.801129,,681.3445511460304,-1.0,-1
544007.731488,6811124.801129,,674.5685803890228,-1.0,-1
544057.731488,6811124.801129,,667.6399409770966,-1.0,-1
544107.731488,6811124.801129,,660.5564188957214,-1.0,-1
544157.731488,6811124.801129,,653.3159564137459,-1.0,-1
544207.731488,6811124.801129,,645.9166587889194,-1.0,-1
544257.731488,6811124.801129,,638.356822013855,-1.0,-1
544307.731488,6811124.801129,,630.634932756424,-1.0,-1
544357.731488,6811124.801129,,622.7496815919876,-1.0,-1
544407.731488,6811124.801129,,614.699989438057,-1.0,-1
544457.731488,6811124.801129,,606.4850053787231,-1.0,-1
544507.731488,6811124.801129,,598.104120850563,-1.0,-1
544557.731488,6811124.801129,,589.5569912791252,-1.0,-1
544607.731488,6811124.801129,,580.8435337841511,-1.0,-1
544657.731488,6811124.801129,,571.9639442563057,-1.0,-1
544707.731488,6811124.801129,,562.9187027812004,-1.0,-1
544757.731488,6811124.801129,,553.7085816264153,-1.0,-1
544807.731488,6811124.801129,,544.3346538543701,-1.0,-1
544857.731488,6811124.801129,,534.7982921600342,-1.0,-1
544907.731488,6811124.801129,,525.1011808514595,-1.0,-1
544957.731488,6811124.801129,,515.2453162670135,-1.0,-1
545007.731488,6811124.801129,,505.23299914598465,-1.0,-1
545057.731488,6811124.801129,,495.0668395757675,-1.0,-1
545107.731488,6811124.801129,,484.74975776672363,-1.0,-1
545157.731488,6811124.801129,,474.284974694252,-1.0,-1
545207.731488,6811124.801129,,463.67600297927856,-1.0,-1
545257.731488,6811124.801129,,452.9266473054886,-1.0,-1
545307.731488,6811124.801129,,442.0409925580025,-1.0,-1
545357.731488,6811124.801129,,431.0233827829361,-1.0,-1
545407.731488,6811124.801129,,419.8784258365631,-1.0,-1
545457.731488,6811124.801129,,408.6109690070152,-1.0,-1
545507.731488,6811124.801129,,397.2260800600052,-1.0,-1
545557.731488,6811124.801129,,385.72904366254807,-1.0,-1
545607.731488,6811124.801129,,374.1253368258476,-1.0,-1
545657.731488,6811124.801129,,362.4206087589264,-1.0,-1
545707.731488,6811124.801129,,350.62066239118576,-1.0,-1
545757.731488,6811124.801129,,338.73144793510437,-1.0,-1
545807.731488,6811124.801129,,326.7590270936489,-1.0,-1
545857.731488,6811124.801129,,314.7095631957054,-1.0,-1
545907.731488,6811124.801129,,302.5893076658249,-1.0,-1
545957.731488,6811124.801129,,290.40457034111023,-1.0,-1
546007.731488,6811124.801129,,278.1617077589035,-1.0,-1
546057.731488,6811124.801129,,265.8671181201935,-1.0,-1
546107.731488,6811124.801129,,253.52721548080444,-1.0,-1
546157.731488,6811124.801129,,241.14842283725739,-1.0,-1
546207.731488,6811124.801129,,228.73715674877167,-1.0,-1
546257.731488,6811124.801129,,216.29983472824097,-1.0,-1
546307.731488,6811124.801129,,203.84285926818848,-1.0,-1
546357.731488,6811124.801129,,191.37261468172073,-1.0,-1
546407.731488,6811124.801129,,178.89548355340958,-1.0,-1
546457.731488,6811124.801129,,166.41784060001373,-1.0,-1
546507.731488,6811124.801129,,153.94606721401215,-1.0,-1
546557.731488,6811124.801129,,141.48657274246216,-1.0,-1
546607.731488,6811124.801129,,129.045803129673,-1.0,-1
546657.731488,6811124.801129,,116.63027608394623,-1.0,-1
546707.731488,6811124.801129,,104.24660134315491,-1.0,-1
546757.731488,6811124.801129,,91.9015326499939,-1.0,-1
546807.731488,6811124.801129,,79.60198628902435,-1.0,-1
