x,y,value,trend,cluster,set
542557.731488,6811124.801129,,-276.4563686493784,-1.0,-1
542607.731488,6811124.801129,,-279.027345739305,-1.0,-1
542657.731488,6811124.801129,,-281.5776987373829,-1.0,-1
542707.731488,6811124.801129,,-284.10740698873997,-1.0,-1
542757.731488,6811124.801129,,-286.61645707301795,-1.0,-1
542807.731488,6811124.801129,,-289.104842890054,-1.0,-1
542857.731488,6811124.801129,,-291.5725658759475,-1.0,-1
542907.731488,6811124.801129,,-294.0196353569627,-1.0,-1
542957.731488,6811124.801129,,-296.44606866966933,-1.0,-1
543007.731488,6811124.801129,,-298.8518914580345,-1.0,-1
543057.731488,6811124.801129,,-301.2371378913522,-1.0,-1
543107.731488,6811124.801129,,-303.60185088962317,-1.0,-1
543157.731488,6811124.801129,,-305.94608247838914,-1.0,-1
543207.731488,6811124.801129,,-308.26989383995533,-1.0,-1
543257.731488,6811124.801129,,-310.5733557641506,-1.0,-1
543307.731488,6811124.801129,,-312.85654871724546,-1.0,-1
543357.731488,6811124.801129,,-315.1195631660521,-1.0,-1
543407.731488,6811124.801129,,-317.36249969899654,-1.0,-1
543457.731488,6811124.801129,,-319.5854693725705,-1.0,-1
543507.731488,6811124.801129,,-321.78859382122755,-1.0,-1
543557.731488,6811124.801129,,-323.9720053896308,-1.0,-1
543607.731488,6811124.801129,,-326.13584737479687,-1.0,-1
543657.731488,6811124.801129,,-328.28027401305735,-1.0,-1
543707.731488,6811124.801129,,-330.40545082092285,-1.0,-1
543757.731488,6811124.801129,,-332.5115542523563,-1.0,-1
543807.731488,6811124.801129,,-334.5987721532583,-1.0,-1
543857.731488,6811124.801129,,-336.6673033311963,-1.0,-1
543907.731488,6811124.801129,,-338.71735774353147,-1.0,-1
543957.731488,6811124.801129,,-340.74915616214275,-1.0,-1
544007.731488,6811124.801129,,-342.7629301175475,-1.0,-1
544057.731488,6811124.801129,,-344.75892131449655,-1.0,-1
544107.731488,6811124.801129,,-346.7373815719038,-1.0,-1
544157.731488,6811124.801129,,-348.6985721648671,-1.0,-1
544207.731488,6811124.801129,,-350.64276333898306,-1.0,-1
544257.731488,6811124.801129,,-352.5702335834503,-1.0,-1
544307.731488,6811124.801129,,-354.48126881569624,-1.0,-1
544357.731488,6811124.801129,,-356.37616155296564,-1.0,-1
544407.731488,6811124.801129,,-358.255209967494,-1.0,-1
544457.731488,6811124.801129,,-360.11871661245823,-1.0,-1
544507.731488,6811124.801129,,-361.96698723360896,-1.0,-1
544557.731488,6811124.801129,,-363.8003293564543,-1.0,-1
544607.731488,6811124.801129,,-365.6190506964922,-1.0,-1
544657.731488,6811124.801129,,-367.42345767468214,-1.0,-1
544707.731488,6811124.801129,,-369.213853508234,-1.0,-1
544757.731488,6811124.801129,,-370.9905363023281,-1.0,-1
544807.731488,6811124.801129,,-372.7537971660495,-1.0,-1
544857.731488,6811124.801129,,-374.50391798838973,-1.0,-1
544907.731488,6811124.801129,,-376.24116925895214,-1.0,-1
544957.731488,6811124.801129,,-377.9658078388311,-1.0,-1
545007.731488,6811124.801129,,-379.67807453870773,-1.0,-1
545057.731488,6811124.801129,,-381.3781917691231,-1.0,-1
545107.731488,6811124.801129,,-383.0663611218333,-1.0,-1
545157.731488,6811124.801129,,-384.74276088550687,-1.0,-1
545207.731488,6811124.801129,,-386.407543733716,-1.0,-1
545257.731488,6811124.801129,,-388.0608342238702,-1.0,-1
545307.731488,6811124.801129,,-389.7027264852077,-1.0,-1
545357.731488,6811124.801129,,-391.3332821652293,-1.0,-1
545407.731488,6811124.801129,,-392.9525279402733,-1.0,-1
545457.731488,6811124.801129,,-394.56045377627015,-1.0,-1
545507.731488,6811124.801129,,-396.15701074153185,-1.0,-1
545557.731488,6811124.801129,,-397.7421093918383,-1.0,-1
