x,y,cluster,trend,value,set,residual
0.0,0.0,0,537.8110654470511,474.224075,1,-63.58699044705105
1.0,0.0,0,547.8716588537209,,0,
2.0,0.0,0,556.6289818435907,,0,
3.0,0.0,0,560.6367641445249,,0,
4.0,0.0,0,555.9153618086129,634.226889,1,78.31152719138709
5.0,0.0,0,537.2220865841955,,0,
6.0,0.0,0,503.1560914046131,,0,
7.0,0.0,0,451.0878800628707,,0,
8.0,0.0,0,380.3619301507715,543.684405,1,163.32247484922846
9.0,0.0,0,296.91822984302416,,0,
10.0,0.0,0,207.5045214262791,,0,
11.0,0.0,0,117.79180166590959,,0,
12.0,0.0,0,33.348332586931065,-36.874397,1,-70.22272958693107
13.0,0.0,0,-40.13324608607218,,0,
14.0,0.0,0,-102.19268460385501,,0,
15.0,0.0,0,-153.1396392073948,,0,
16.0,0.0,0,-193.29493915801868,-295.860241,1,-102.5653018419813
17.0,0.0,0,-221.9858408095315,,0,
18.0,0.0,0,-244.1573762104381,,0,
19.0,0.0,0,-263.58440942456946,,0,
20.0,0.0,0,-283.90170271974057,-179.250285,1,104.65141771974058
21.0,0.0,0,-309.3206888609566,,0,
22.0,0.0,0,-337.4587111866567,,0,
23.0,0.0,0,-366.356718047522,,0,
24.0,0.0,0,-394.0283967666328,-512.422377,1,-118.39398023336719
25.0,0.0,0,-418.31381563283503,,0,
26.0,0.0,0,-437.1178034474142,,0,
27.0,0.0,0,-448.3776813498698,,0,
28.0,0.0,0,-450.39216943108477,-450.253056,1,0.13911343108475194
29.0,0.0,0,-442.8255202791188,,0,
30.0,0.0,0,-426.52342993346974,,0,
31.0,0.0,0,-403.6914019244723,,0,
32.0,0.0,0,-378.3011744581163,-306.832567,1,71.46860745811631
33.0,0.0,0,-356.2946975938976,,0,
34.0,0.0,0,-340.6564419992501,,0,
35.0,0.0,0,-335.91401752922684,,0,
36.0,0.0,0,-345.643111287849,-269.85286,1,75.790251287849
37.0,0.0,0,-368.75531863537617,,0,
38.0,0.0,0,-402.6632372941822,,0,
39.0,0.0,0,-444.2943133057561,,0,
40.0,0.0,0,-490.3821046905359,-277.807808,1,212.5742966905359
41.0,0.0,0,-538.9489067406394,,0,
42.0,0.0,0,-588.8951110751368,,0,
43.0,0.0,0,-640.0266268819105,,0,
44.0,0.0,0,-692.0857929787599,-448.97593,1,243.10986297875985
45.0,0.0,0,-742.4914483893663,,0,
46.0,0.0,0,-787.5631789406762,,0,
47.0,0.0,0,-823.7102368269116,,0,
48.0,0.0,0,-849.1627333522774,-834.016074,1,15.146659352277425
49.0,0.0,0,-865.3879662402906,,0,
50.0,0.0,0,-873.5949049264891,,0,
51.0,0.0,0,-873.6848236541264,,0,
52.0,0.0,0,-865.3864210024476,-792.819358,1,72.56706300244764
53.0,0.0,0,-849.7750941272825,,0,
54.0,0.0,0,-828.5443664845079,,0,
55.0,0.0,0,-802.6729572154582,,0,
56.0,0.0,0,-771.7143785262015,-767.857072,1,3.857306526201455
57.0,0.0,0,-735.1052409990225,,0,
58.0,0.0,0,-692.4964763869066,,0,
59.0,0.0,0,-643.5855526772793,,0,
60.0,0.0,0,-588.298017567955,-570.530454,1,17.767563567954994
61.0,0.0,0,-527.4965426765848,,0,
62.0,0.0,0,-461.62092149443924,,0,
63.0,0.0,0,-389.8354225780349,,0,
64.0,0.0,0,-311.4940854688175,-440.568104,1,-129.0740185311825
65.0,0.0,0,-229.3904507223051,,0,
66.0,0.0,0,-145.83694730966818,,0,
67.0,0.0,0,-61.03362543054391,,0,
68.0,0.0,0,26.40930612711236,-81.994134,1,-108.40344012711236
69.0,0.0,0,118.94983799639158,,0,
70.0,0.0,0,212.09972873795778,,0,
71.0,0.0,0,301.2656159000471,,0,
72.0,0.0,0,380.8700364562683,410.148254,1,29.278217543731728
73.0,0.0,0,443.5920451004058,,0,
74.0,0.0,0,482.7388268376817,,0,
75.0,0.0,0,492.96648245025426,,0,
76.0,0.0,0,472.1365538056125,727.386687,1,255.25013319438756
77.0,0.0,0,417.9528970910469,,0,
78.0,0.0,0,342.6078855531523,,0,
79.0,0.0,0,255.1685661781812,,0,
80.0,0.0,0,162.69877959619043,37.125652,1,-125.57312759619043
81.0,0.0,0,70.87146508553997,,0,
82.0,0.0,0,-16.062287486856803,,0,
83.0,0.0,0,-95.17915840330534,,0,
84.0,0.0,0,-164.56968740507727,8.115114,1,172.68480140507728
85.0,0.0,0,-223.16115530696698,,0,
86.0,0.0,0,-270.50238556903787,,0,
87.0,0.0,0,-306.50239195942413,,0,
88.0,0.0,0,-331.533528910717,-372.073892,1,-40.540363089283005
89.0,0.0,0,-347.3896034559584,,0,
90.0,0.0,0,-355.86245780519675,,0,
91.0,0.0,0,-358.4252987226355,,0,
92.0,0.0,0,-356.28712560562417,-351.902892,1,4.384233605624161
93.0,0.0,0,-350.0837388347136,,0,
94.0,0.0,0,-340.7645462019136,,0,
95.0,0.0,0,-330.05797403585166,,0,
96.0,0.0,0,-320.5794124249951,-258.137721,1,62.4416914249951
97.0,0.0,0,-315.84199378310586,,0,
98.0,0.0,0,-315.77650523078046,,0,
99.0,0.0,0,-320.8730955577048,,0,
100.0,0.0,0,-331.3290586883086,-252.379389,1,78.94966968830857
101.0,0.0,0,-345.379981718841,,0,
102.0,0.0,0,-360.82158109918237,,0,
103.0,0.0,0,-376.01391640410293,,0,
104.0,0.0,0,-389.95603452128125,-418.693301,1,-28.737266478718766
105.0,0.0,0,-401.4308543559164,,0,
106.0,0.0,0,-410.3172382506018,,0,
107.0,0.0,0,-415.296751562797,,0,
108.0,0.0,0,-413.57093760342104,-509.47614,1,-95.90520239657894
109.0,0.0,0,-401.49225763382856,,0,
110.0,0.0,0,-382.02928458174574,,0,
111.0,0.0,0,-358.66149039025186,,0,
112.0,0.0,0,-336.2552648742858,-149.963232,1,186.29203287428578
113.0,0.0,0,-321.76467989719094,,0,
114.0,0.0,0,-311.27543583948864,,0,
115.0,0.0,0,-302.6227714297129,,0,
116.0,0.0,0,-294.5909154461988,-162.879975,1,131.71094044619878
117.0,0.0,0,-285.582398931263,,0,
118.0,0.0,0,-275.1660018650582,,0,
119.0,0.0,0,-264.6090218552854,,0,
120.0,0.0,0,-257.1828032613266,-40.037057,1,217.14574626132662
121.0,0.0,0,-258.5420095039299,,0,
122.0,0.0,0,-261.6533611706109,,0,
123.0,0.0,0,-261.1013890891336,,0,
124.0,0.0,0,-253.69254094627104,-467.913713,1,-214.22117205372894
125.0,0.0,0,-240.97897366865072,,0,
126.0,0.0,0,-225.23287843319122,,0,
127.0,0.0,0,-207.38041466206778,,0,
128.0,0.0,0,-185.36401217110688,-536.922796,1,-351.55878382889307
129.0,0.0,0,-152.2010230362066,,0,
130.0,0.0,0,-119.13574974547373,,0,
131.0,0.0,0,-91.59854153357446,,0,
132.0,0.0,0,-71.10718369408278,-100.3713,1,-29.264116305917227
133.0,0.0,0,-57.471483814762905,,0,
134.0,0.0,0,-51.82443099538796,,0,
135.0,0.0,0,-55.67327268898953,,0,
136.0,0.0,0,-69.5878916826332,194.130635,1,263.7185266826332
137.0,0.0,0,-89.0935007307562,,0,
138.0,0.0,0,-109.45612609910313,,0,
139.0,0.0,0,-127.44488058728166,,0,
140.0,0.0,0,-140.9479678675998,-80.460222,1,60.4877458675998
141.0,0.0,0,-149.4739905942697,,0,
142.0,0.0,0,-150.82067344803363,,0,
143.0,0.0,0,-145.94422204379225,,0,
144.0,0.0,0,-137.3162403512979,54.862272,1,192.17851235129788
145.0,0.0,0,-125.34953032876365,,0,
146.0,0.0,0,-112.08832994941622,,0,
147.0,0.0,0,-103.04031332279555,,0,
148.0,0.0,0,-104.57828188652638,-192.881905,1,-88.3036231134736
149.0,0.0,0,-118.72504538181238,,0,
150.0,0.0,0,-145.9297018656507,,0,
151.0,0.0,0,-185.85811426132568,,0,
152.0,0.0,0,-237.38566662953235,-154.18491,1,83.20075662953235
153.0,0.0,0,-299.14866906870157,,0,
154.0,0.0,0,-364.10625211312436,,0,
155.0,0.0,0,-425.97284348867834,,0,
156.0,0.0,0,-480.3262496814132,-425.328445,1,54.997804681413186
157.0,0.0,0,-524.8186774617061,,0,
158.0,0.0,0,-557.3087883112021,,0,
159.0,0.0,0,-576.1176640547346,,0,
160.0,0.0,0,-580.9234436355764,-445.432528,1,135.4909156355764
161.0,0.0,0,-572.0225145046134,,0,
162.0,0.0,0,-550.1958231094759,,0,
163.0,0.0,0,-517.0672551696189,,0,
164.0,0.0,0,-475.4233106117463,-462.833688,1,12.589622611746279
165.0,0.0,0,-428.9473606948741,,0,
166.0,0.0,0,-381.15256732329726,,0,
167.0,0.0,0,-336.6993965297879,,0,
168.0,0.0,0,-302.57363075145986,-78.945016,1,223.62861475145985
169.0,0.0,0,-288.43628084496595,,0,
170.0,0.0,0,-290.92171975271776,,0,
171.0,0.0,0,-309.0544364657253,,0,
172.0,0.0,0,-341.925811547786,36.804026,1,378.729837547786
173.0,0.0,0,-383.9075604334939,,0,
174.0,0.0,0,-429.11680043302476,,0,
175.0,0.0,0,-473.1683360252064,,0,
176.0,0.0,0,-512.0903112748638,-592.861293,1,-80.77098172513627
177.0,0.0,0,-541.6542208993342,,0,
178.0,0.0,0,-562.996729207458,,0,
179.0,0.0,0,-576.9057889166288,,0,
180.0,0.0,0,-582.4094922647346,-762.878067,1,-180.4685747352654
181.0,0.0,0,-575.3166599788237,,0,
182.0,0.0,0,-560.3645161339082,,0,
183.0,0.0,0,-540.5483664603089,,0,
184.0,0.0,0,-519.999567912193,-394.644113,1,125.35545491219301
185.0,0.0,0,-504.40754559019115,,0,
186.0,0.0,0,-491.5904609072022,,0,
187.0,0.0,0,-479.93934521405026,,0,
188.0,0.0,0,-468.1907587097958,-458.894877,1,9.295881709795765
189.0,0.0,0,-455.2582690846175,,0,
190.0,0.0,0,-439.95688484283164,,0,
191.0,0.0,0,-421.9253829952795,,0,
192.0,0.0,0,-401.24511047650594,-159.284279,1,241.96083147650594
193.0,0.0,0,-377.7359348142054,,0,
194.0,0.0,0,-351.05880023376085,,0,
195.0,0.0,0,-321.21673208568245,,0,
196.0,0.0,0,-289.06327239307575,-277.883277,1,11.179995393075728
197.0,0.0,0,-256.1253641406074,,0,
198.0,0.0,0,-223.4723508306779,,0,
