x,y,cluster,trend,value,set,residual
0.0,0.0,0,526.7688684964087,474.224075,1,-52.54479349640866
1.0,0.0,0,534.993921012152,,0,
2.0,0.0,0,541.5344885382801,,0,
3.0,0.0,0,543.2740309843794,,0,
4.0,0.0,0,537.2132748926524,634.226889,1,97.01361410734762
5.0,0.0,0,520.1014980454929,,0,
6.0,0.0,0,488.2067247610539,,0,
7.0,0.0,0,437.5393634112552,,0,
8.0,0.0,0,366.83742769784294,543.684405,1,176.84697730215703
9.0,0.0,0,282.08590974472463,,0,
10.0,0.0,0,190.46510787005536,,0,
11.0,0.0,0,98.28534702584147,,0,
12.0,0.0,0,11.61904567014426,-36.874397,1,-48.49344267014426
13.0,0.0,0,-63.925171019975096,,0,
14.0,0.0,0,-127.2392256250605,,0,
15.0,0.0,0,-178.5631767984014,,0,
16.0,0.0,0,-218.55466847051866,-295.860241,1,-77.30557252948131
17.0,0.0,0,-247.3389891758561,,0,
18.0,0.0,0,-269.58407122897916,,0,
19.0,0.0,0,-289.39485103590414,,0,
20.0,0.0,0,-311.024050324806,-179.250285,1,131.77376532480602
21.0,0.0,0,-339.4342597767245,,0,
22.0,0.0,0,-371.1797835484613,,0,
23.0,0.0,0,-403.2750445350539,,0,
24.0,0.0,0,-432.51507048809435,-512.422377,1,-79.90730651190563
25.0,0.0,0,-454.76636169012636,,0,
26.0,0.0,0,-470.34211651980877,,0,
27.0,0.0,0,-478.6195792723447,,0,
28.0,0.0,0,-478.629109794274,-450.253056,1,28.376053794273957
29.0,0.0,0,-469.92983042728156,,0,
30.0,0.0,0,-452.98863596096635,,0,
31.0,0.0,0,-429.5124489534646,,0,
32.0,0.0,0,-402.0724989323644,-306.832567,1,95.23993193236441
33.0,0.0,0,-373.18772039958276,,0,
34.0,0.0,0,-346.269789784099,,0,
35.0,0.0,0,-326.25682997051626,,0,
36.0,0.0,0,-317.8065312895924,-269.85286,1,47.953671289592364
37.0,0.0,0,-321.39401026442647,,0,
38.0,0.0,0,-336.10819858824834,,0,
39.0,0.0,0,-360.92483176733367,,0,
40.0,0.0,0,-395.1827892162837,-277.807808,1,117.37498121628369
41.0,0.0,0,-439.5976762364153,,0,
42.0,0.0,0,-489.1175107259769,,0,
43.0,0.0,0,-541.3698075497523,,0,
