x,y,cluster,trend,value,set,residual
0.0,0.0,0,533.5830015596002,474.224075,1,-59.35892655960021
1.0,0.0,0,538.5849631995661,,0,
2.0,0.0,0,542.3451949863229,,0,
3.0,0.0,0,542.1145740211941,,0,
4.0,0.0,0,535.0988615103997,,0,
5.0,0.0,0,518.2402757583186,,0,
6.0,0.0,0,487.28187867769157,749.593665,1,262.3117863223084
7.0,0.0,0,435.37136284448206,,0,
8.0,0.0,0,370.5197363770567,,0,
9.0,0.0,0,297.8189283751999,,0,
10.0,0.0,0,220.6838817135431,,0,
11.0,0.0,0,142.26410182379186,,0,
12.0,0.0,0,65.46060518547893,-36.874397,1,-102.33500218547893
13.0,0.0,0,-7.846154958941042,,0,
14.0,0.0,0,-75.94438505917788,,0,
15.0,0.0,0,-137.08644125424325,,0,
16.0,0.0,0,-189.7727085009683,,0,
17.0,0.0,0,-233.31182279530913,,0,
18.0,0.0,0,-268.65886986628175,-255.970953,1,12.68791686628174
19.0,0.0,0,-298.3108352657873,,0,
20.0,0.0,0,-324.47040926269256,,0,
21.0,0.0,0,-348.5115465130657,,0,
22.0,0.0,0,-371.0964395926567,,0,
23.0,0.0,0,-392.3349450356327,,0,
24.0,0.0,0,-411.7924163597636,-512.422377,1,-100.62996064023639
25.0,0.0,0,-428.1884379563853,,0,
26.0,0.0,0,-440.1448927798774,,0,
27.0,0.0,0,-446.6170162311755,,0,
28.0,0.0,0,-447.1011077614967,,0,
29.0,0.0,0,-441.81772476341575,,0,
30.0,0.0,0,-431.43728702084627,-353.156803,1,78.28048402084625
31.0,0.0,0,-416.485843218863,,0,
32.0,0.0,0,-397.9474962342065,,0,
33.0,0.0,0,-377.69339680683333,,0,
34.0,0.0,0,-358.75675168901216,,0,
35.0,0.0,0,-345.6743986720685,,0,
36.0,0.0,0,-342.58387526730075,-269.85286,1,72.73101526730073
37.0,0.0,0,-349.0262756794691,,0,
38.0,0.0,0,-363.3782440556679,,0,
39.0,0.0,0,-384.3697912557982,,0,
40.0,0.0,0,-411.028513905243,,0,
41.0,0.0,0,-442.94115433841944,,0,
42.0,0.0,0,-480.6375732226297,-372.586972,1,108.05060122262972
43.0,0.0,0,-525.8374563934049,,0,
44.0,0.0,0,-574.0594275235198,,0,
45.0,0.0,0,-622.0394744300283,,0,
46.0,0.0,0,-667.5455120650586,,0,
47.0,0.0,0,-708.9343262040056,,0,
48.0,0.0,0,-744.230299940682,-834.016074,1,-89.78577405931799
49.0,0.0,0,-770.200221258332,,0,
50.0,0.0,0,-788.2992490555625,,0,
51.0,0.0,0,-798.861027194187,,0,
52.0,0.0,0,-801.9302673575003,,0,
53.0,0.0,0,-797.9060079520568,,0,
54.0,0.0,0,-787.4794603262562,-776.971686,1,10.507774326256254
55.0,0.0,0,-771.3873610964511,,0,
56.0,0.0,0,-749.4854198708199,,0,
57.0,0.0,0,-721.2827193948324,,0,
58.0,0.0,0,-685.8606892152457,,0,
59.0,0.0,0,-642.3471183099318,,0,
60.0,0.0,0,-590.974021593458,-570.530454,1,20.443567593458056
61.0,0.0,0,-533.4672654354945,,0,
62.0,0.0,0,-471.3306401355658,,0,
63.0,0.0,0,-405.3651675984729,,0,
64.0,0.0,0,-335.9547971613938,,0,
65.0,0.0,0,-263.41997796000214,,0,
66.0,0.0,0,-188.41040284198243,-183.533745,1,4.876657841982421
67.0,0.0,0,-112.06128602311946,,0,
68.0,0.0,0,-35.681360439863056,,0,
69.0,0.0,0,39.25794734037481,,0,
70.0,0.0,3,110.90137004246935,,0,
71.0,0.0,3,176.68700550461654,,0,
72.0,0.0,3,233.20543359569274,410.148254,1,176.94282040430727
73.0,0.0,3,276.5542573544226,,0,
74.0,0.0,3,302.6604704800993,,0,
75.0,0.0,3,308.27276679192437,,0,
76.0,0.0,3,292.38385156251024,,0,
77.0,0.0,3,256.69272552384064,,0,
78.0,0.0,3,204.08636040694546,306.953297,1,102.86693659305456
79.0,0.0,3,136.77776186959818,,0,
80.0,0.0,3,62.45518766029272,,0,
81.0,0.0,3,-13.111636230372824,,0,
82.0,0.0,3,-85.97336654027458,,0,
83.0,0.0,3,-153.7159758193302,,0,
84.0,0.0,3,-214.89355791796697,8.115114,1,223.00867191796698
85.0,0.0,3,-268.1020117595326,,0,
86.0,0.0,3,-312.5549287693866,,0,
87.0,0.0,3,-348.16257650463376,,0,
88.0,0.0,3,-375.1868735641474,,0,
89.0,0.0,3,-394.3385161178012,,0,
90.0,0.0,3,-407.00017874944024,-405.137127,1,1.863051749440217
91.0,0.0,3,-414.6303354764241,,0,
92.0,0.0,3,-418.13812140974915,,0,
93.0,0.0,3,-417.9970318605192,,0,
94.0,0.0,3,-414.3858660974947,,0,
95.0,0.0,3,-407.57334025774617,,0,
96.0,0.0,3,-398.52826817921596,-258.137721,1,140.39054717921596
97.0,0.0,3,-389.10368639967055,,0,
98.0,0.0,3,-381.1299494932464,,0,
99.0,0.0,3,-376.0114793223329,,0,
100.0,0.0,3,-374.50237814709544,,0,
101.0,0.0,3,-376.5464411083376,,0,
102.0,0.0,3,-381.4044012009399,-403.129118,1,-21.724716799060104
103.0,0.0,3,-387.83322890277486,,0,
104.0,0.0,3,-395.61518705653725,,0,
105.0,0.0,3,-404.05691765563097,,0,
106.0,0.0,3,-412.0044945048285,,0,
107.0,0.0,3,-417.5651477918145,,0,
108.0,0.0,3,-418.6098083812394,-509.47614,1,-90.86633161876057
109.0,0.0,3,-414.75881935167126,,0,
110.0,0.0,3,-406.0988529641472,,0,
111.0,0.0,3,-392.7407295280136,,0,
112.0,0.0,3,-375.3166611265624,,0,
113.0,0.0,3,-355.4906594294007,,0,
114.0,0.0,3,-337.26492981173215,-60.119306,1,277.14562381173215
115.0,0.0,3,-328.2634793559846,,0,
116.0,0.0,3,-321.18848645780236,,0,
117.0,0.0,3,-312.8177713971818,,0,
118.0,0.0,3,-303.0048514698574,,0,
119.0,0.0,3,-293.49798514856957,,0,
120.0,0.0,3,-286.28323209204245,-40.037057,1,246.24617509204245
121.0,0.0,3,-280.7953642261564,,0,
122.0,0.0,3,-276.06134481728077,,0,
123.0,0.0,3,-271.59159522358095,,0,
124.0,0.0,3,-266.98592851212015,,0,
125.0,0.0,3,-261.304977745167,,0,
126.0,0.0,3,-251.41823594487505,-532.989036,1,-281.570800055125
127.0,0.0,3,-230.65453085431363,,0,
128.0,0.0,3,-207.67052432708442,,0,
129.0,0.0,3,-187.00882856578392,,0,
130.0,0.0,3,-169.7207921918598,,0,
131.0,0.0,3,-154.11269909754628,,0,
132.0,0.0,1,-137.80628284951672,-100.3713,1,37.434982849516715
133.0,0.0,1,-121.67953880212735,,0,
134.0,0.0,1,-107.15538432652829,,0,
135.0,0.0,1,-95.23291316989344,,0,
136.0,0.0,1,-87.28283896599896,,0,
137.0,0.0,1,-85.92198485590052,,0,
138.0,0.0,1,-93.1707589631842,44.65782,1,137.8285789631842
139.0,0.0,1,-105.66055780753959,,0,
140.0,0.0,1,-119.6953761089826,,0,
141.0,0.0,1,-133.28189058438875,,0,
142.0,0.0,1,-145.6295044980361,,0,
143.0,0.0,1,-157.55526975309476,,0,
144.0,0.0,1,-170.62051713455003,54.862272,1,225.48278913455002
145.0,0.0,1,-183.8000744251185,,0,
146.0,0.0,1,-196.14298978401348,,0,
147.0,0.0,1,-208.05656183836982,,0,
148.0,0.0,1,-221.13095871487167,,0,
149.0,0.0,1,-238.1202997051878,,0,
150.0,0.0,1,-261.72994436573936,-257.659604,1,4.070340365739355
151.0,0.0,1,-292.1029333670158,,0,
152.0,0.0,1,-328.3539129898418,,0,
153.0,0.0,1,-368.9091653334326,,0,
154.0,0.0,1,-411.1819416298822,,0,
155.0,0.0,1,-452.402037333115,,0,
156.0,0.0,1,-490.9468930598814,-425.328445,1,65.61844805988142
157.0,0.0,1,-526.4114756508498,,0,
158.0,0.0,1,-555.0006991770351,,0,
159.0,0.0,1,-574.4319699932821,,0,
160.0,0.0,1,-584.0424343254417,,0,
161.0,0.0,1,-584.5620924565592,,0,
162.0,0.0,1,-577.4319132991368,-385.36112,1,192.07079329913677
163.0,0.0,1,-563.527856747387,,0,
164.0,0.0,1,-543.9049976581009,,0,
165.0,0.0,1,-520.2500572784338,,0,
166.0,0.0,1,-494.9047298936639,,0,
167.0,0.0,1,-470.8635589182377,,0,
168.0,0.0,1,-450.9916785364039,-78.945016,1,372.0466625364039
169.0,0.0,1,-436.59645247261506,,0,
170.0,0.0,2,-428.7694632319326,,0,
171.0,0.0,2,-428.5703412514413,,0,
172.0,0.0,2,-436.4894322983455,,0,
173.0,0.0,2,-452.02411762601696,,0,
174.0,0.0,2,-473.737221010495,-418.979534,1,54.757687010494976
175.0,0.0,2,-500.24884172366,,0,
176.0,0.0,2,-527.2430003178306,,0,
177.0,0.0,2,-551.5589955809992,,0,
178.0,0.0,2,-571.344525606255,,0,
