x,y,cluster,trend,value,set,residual
0.0,0.0,0,519.5525808008388,474.224075,1,-45.32850580083874
1.0,0.0,0,521.3067406157497,,0,
2.0,0.0,0,520.7608932652511,,0,
3.0,0.0,0,515.2278973474167,,0,
4.0,0.0,0,501.98683865903877,,0,
5.0,0.0,0,478.2159628584632,,0,
6.0,0.0,0,441.09381499816664,,0,
7.0,0.0,0,387.27921586995944,,0,
8.0,0.0,0,315.10695687984116,543.684405,1,228.5774481201588
9.0,0.0,0,230.4972095520934,,0,
10.0,0.0,0,140.43159550148994,,0,
11.0,0.0,0,50.42272719205357,,0,
12.0,0.0,0,-34.8300566773396,,0,
13.0,0.0,0,-111.5557768753497,,0,
14.0,0.0,0,-177.34886219073087,,0,
15.0,0.0,0,-230.89238227414899,,0,
16.0,0.0,0,-272.2699992202688,-295.860241,1,-23.590241779731173
17.0,0.0,0,-304.96894589072326,,0,
18.0,0.0,0,-332.48333365563303,,0,
19.0,0.0,0,-357.07236585300416,,0,
20.0,0.0,0,-380.16749658691697,,0,
21.0,0.0,0,-402.5297724608681,,0,
22.0,0.0,0,-424.2096911959816,,0,
23.0,0.0,0,-444.4984690377023,,0,
24.0,0.0,0,-461.8874668099452,-512.422377,1,-50.5349101900548
25.0,0.0,0,-474.06630859401776,,0,
26.0,0.0,0,-481.4623714743648,,0,
27.0,0.0,0,-483.91200297581963,,0,
28.0,0.0,0,-481.0215299145784,,0,
29.0,0.0,0,-472.67914622154785,,0,
30.0,0.0,0,-459.57982485741377,,0,
31.0,0.0,0,-443.63383306073956,,0,
32.0,0.0,0,-428.3139335557353,-306.832567,1,121.48136655573529
33.0,0.0,0,-418.8543566596345,,0,
34.0,0.0,0,-413.88263471168466,,0,
35.0,0.0,0,-413.5613293531351,,0,
36.0,0.0,0,-418.9181421454996,,0,
37.0,0.0,0,-430.97442959531327,,0,
38.0,0.0,0,-450.08159011637326,,0,
39.0,0.0,0,-475.5086321562994,,0,
40.0,0.0,0,-505.8840203504078,-277.807808,1,228.0762123504078
41.0,0.0,0,-540.0709821944474,,0,
42.0,0.0,0,-576.9110148177715,,0,
43.0,0.0,0,-615.0423995836172,,0,
44.0,0.0,0,-652.9265742686111,,0,
45.0,0.0,0,-688.9615095129702,,0,
46.0,0.0,0,-721.7405436926056,,0,
47.0,0.0,0,-750.1534597398713,,0,
48.0,0.0,0,-772.8733259807341,-834.016074,1,-61.14274801926592
49.0,0.0,0,-787.7807187557337,,0,
50.0,0.0,0,-796.0471084594028,,0,
51.0,0.0,0,-798.1651197057217,,0,
52.0,0.0,0,-794.4142030379735,,0,
53.0,0.0,0,-785.143654124462,,0,
54.0,0.0,0,-770.501954685431,,0,
55.0,0.0,0,-749.9157534319675,,0,
56.0,0.0,0,-722.7315298443427,-767.857072,1,-45.125542155657286
57.0,0.0,0,-690.1368643184833,,0,
58.0,0.0,0,-653.2636028644629,,0,
59.0,0.0,0,-612.4693151614629,,0,
60.0,0.0,0,-567.6683961203089,,0,
61.0,0.0,0,-518.565558678034,,0,
62.0,0.0,0,-464.7901580160251,,0,
63.0,0.0,0,-405.86662379151676,,0,
64.0,0.0,0,-340.7439514272846,-440.568104,1,-99.82415257271538
