x,y,cluster,trend,value,set,residual
0.0,0.0,0,275.0863524853048,474.224075,1,199.1377225146952
1.0,0.0,0,259.7389079971472,,0,
2.0,0.0,0,243.65384205304144,,0,
3.0,0.0,0,226.77817699818115,,0,
4.0,0.0,0,209.07117583052604,,0,
5.0,0.0,0,190.51274656115856,,0,
6.0,0.0,0,171.1106913368858,749.593665,1,578.4829736631142
7.0,0.0,0,150.9041390002094,,0,
8.0,0.0,0,129.96196034145396,,0,
9.0,0.0,0,108.37740057976043,,0,
10.0,0.0,0,86.26161325834983,,0,
11.0,0.0,0,63.73841526617616,,0,
12.0,0.0,0,40.94130327808671,-36.874397,1,-77.81570027808671
13.0,0.0,0,18.01276605138264,,0,
14.0,0.0,0,-4.894338632395375,,0,
15.0,0.0,0,-27.61310559649428,,0,
16.0,0.0,0,-49.95485346328496,,0,
17.0,0.0,0,-71.69031849809107,,0,
18.0,0.0,0,-92.47165510711784,-255.970953,1,-163.49929789288217
19.0,0.0,0,-111.75667536168476,,0,
20.0,0.0,0,-129.91324885046924,,0,
21.0,0.0,0,-147.1172704659839,,0,
22.0,0.0,0,-163.43074673085357,,0,
23.0,0.0,0,-178.88200650630824,,0,
24.0,0.0,0,-193.4864971870411,-512.422377,1,-318.9358798129589
25.0,0.0,0,-207.25619006690977,,0,
26.0,0.0,0,-220.2046449447662,,0,
27.0,0.0,0,-232.34974152648647,,0,
28.0,0.0,0,-243.71485793248576,,0,
29.0,0.0,0,-254.3289333215762,,0,
30.0,0.0,0,-264.2257539376078,-353.156803,1,-88.93104906239222
31.0,0.0,0,-273.4427498672849,,0,
32.0,0.0,0,-282.01952274794166,,0,
33.0,0.0,0,-289.9962406324921,,0,
34.0,0.0,0,-297.411951360642,,0,
35.0,0.0,0,-304.30279021859315,,0,
36.0,0.0,0,-310.6999829177439,-269.85286,1,40.84712291774389
37.0,0.0,0,-316.6274310269,,0,
38.0,0.0,0,-322.0983971583337,,0,
39.0,0.0,0,-327.10999813534,,0,
40.0,0.0,0,-331.63149731424346,,0,
41.0,0.0,0,-335.5806717679661,,0,
42.0,0.0,0,-338.89068171483814,-372.586972,1,-33.696290285161865
43.0,0.0,0,-341.6817759511014,,0,
44.0,0.0,0,-344.0900551389277,,0,
45.0,0.0,0,-346.20088866418155,,0,
46.0,0.0,0,-348.0724896299798,,0,
