x,y,val
0.0,0.0,474.224075
6.0,0.0,749.593665
12.0,0.0,-36.874397
18.0,0.0,-255.970953
24.0,0.0,-512.422377
30.0,0.0,-353.156803
36.0,0.0,-269.85286
42.0,0.0,-372.586972
48.0,0.0,-834.016074
54.0,0.0,-776.971686
60.0,0.0,-570.530454
66.0,0.0,-183.533745
72.0,0.0,410.148254
78.0,0.0,306.953297
84.0,0.0,8.115114
90.0,0.0,-405.137127
96.0,0.0,-258.137721
102.0,0.0,-403.129118
108.0,0.0,-509.47614
114.0,0.0,-60.119306
120.0,0.0,-40.037057
126.0,0.0,-532.989036
132.0,0.0,-100.3713
138.0,0.0,44.65782
144.0,0.0,54.862272
150.0,0.0,-257.659604
156.0,0.0,-425.328445
162.0,0.0,-385.36112
168.0,0.0,-78.945016
174.0,0.0,-418.979534
180.0,0.0,-762.878067
186.0,0.0,-386.242755
192.0,0.0,-159.284279
198.0,0.0,-39.921405
5.0,1.0,695.238031
11.0,1.0,93.67507
17.0,1.0,-280.582936
23.0,1.0,-368.544611
29.0,1.0,-422.596946
35.0,1.0,-157.078666
41.0,1.0,-405.154015
47.0,1.0,-902.332336
53.0,1.0,-769.317355
59.0,1.0,-677.388051
65.0,1.0,-268.60293
71.0,1.0,201.262991
77.0,1.0,494.925935
83.0,1.0,-141.565533
89.0,1.0,-481.856197
95.0,1.0,-428.033593
101.0,1.0,-415.118207
107.0,1.0,-511.931728
113.0,1.0,-116.69627
119.0,1.0,-207.56239
125.0,1.0,-322.327174
131.0,1.0,-276.961617
137.0,1.0,142.002532
143.0,1.0,-24.745336
149.0,1.0,-132.394629
155.0,1.0,-491.2417
161.0,1.0,-552.482426
167.0,1.0,-389.302605
173.0,1.0,-182.470585
179.0,1.0,-741.947155
185.0,1.0,-413.107599
191.0,1.0,-393.093982
197.0,1.0,-217.627958
4.0,2.0,546.320071
10.0,2.0,304.749845
16.0,2.0,-328.573169
22.0,2.0,-308.543502
28.0,2.0,-524.460075
34.0,2.0,-222.66779
40.0,2.0,-493.536874
46.0,2.0,-866.284542
52.0,2.0,-741.551645
58.0,2.0,-758.138494
64.0,2.0,-349.714978
70.0,2.0,109.882826
76.0,2.0,653.766291
82.0,2.0,-110.070171
88.0,2.0,-475.325693
94.0,2.0,-465.607626
100.0,2.0,-321.034092
106.0,2.0,-398.174171
112.0,2.0,-368.941656
118.0,2.0,-326.686436
124.0,2.0,-215.529366
130.0,2.0,-106.959931
136.0,2.0,81.757014
142.0,2.0,-222.124311
148.0,2.0,76.915798
154.0,2.0,-497.932693
160.0,2.0,-623.052727
166.0,2.0,-450.623618
172.0,2.0,-284.73481
178.0,2.0,-644.477731
184.0,2.0,-451.994186
190.0,2.0,-613.131666
196.0,2.0,-321.352338
3.0,3.0,416.233718
9.0,3.0,332.979326
15.0,3.0,-261.212836
21.0,3.0,-283.500679
27.0,3.0,-510.908553
33.0,3.0,-405.54487
39.0,3.0,-388.541911
45.0,3.0,-662.601625
51.0,3.0,-793.242349
57.0,3.0,-756.821022
63.0,3.0,-421.478754
69.0,3.0,22.475374
75.0,3.0,687.146364
81.0,3.0,-130.811804
87.0,3.0,-439.458719
93.0,3.0,-449.170623
99.0,3.0,-242.416623
105.0,3.0,-255.141402
111.0,3.0,-556.071139
117.0,3.0,-464.676743
123.0,3.0,-297.711302
129.0,3.0,60.115387
135.0,3.0,-91.264003
141.0,3.0,-367.652247
147.0,3.0,-220.705378
153.0,3.0,-335.376919
159.0,3.0,-810.550289
165.0,3.0,-697.441316
171.0,3.0,-205.399658
177.0,3.0,-612.211674
183.0,3.0,-565.001921
189.0,3.0,-524.349584
195.0,3.0,-354.32958
2.0,4.0,441.47276
8.0,4.0,275.633354
14.0,4.0,-274.170233
20.0,4.0,-166.041975
26.0,4.0,-489.524003
32.0,4.0,-456.554188
38.0,4.0,-113.640513
44.0,4.0,-553.552542
50.0,4.0,-713.918947
56.0,4.0,-601.726968
62.0,4.0,-320.227808
68.0,4.0,1.264026
74.0,4.0,654.266912
80.0,4.0,-93.747729
86.0,4.0,-448.180553
92.0,4.0,-471.466115
98.0,4.0,-197.695389
104.0,4.0,-181.268461
110.0,4.0,-574.766992
116.0,4.0,-635.125215
122.0,4.0,-368.578701
128.0,4.0,110.573413
134.0,4.0,-77.076593
140.0,4.0,-490.761051
146.0,4.0,-225.896658
152.0,4.0,-32.550694
158.0,4.0,-877.000639
164.0,4.0,-706.281823
170.0,4.0,-55.322973
176.0,4.0,-463.89431
182.0,4.0,-437.642424
188.0,4.0,-282.285261
194.0,4.0,-271.441195
1.0,5.0,403.358594
7.0,5.0,340.85417
13.0,5.0,-246.018538
19.0,5.0,-179.443084
25.0,5.0,-427.208686
31.0,5.0,-532.115218
37.0,5.0,12.604884
43.0,5.0,-392.649269
49.0,5.0,-549.116602
55.0,5.0,-634.683314
61.0,5.0,-366.960886
67.0,5.0,-55.504049
73.0,5.0,326.435617
79.0,5.0,5.017362
85.0,5.0,-564.478805
91.0,5.0,-390.502309
97.0,5.0,-309.096825
103.0,5.0,-237.873867
109.0,5.0,-701.825962
115.0,5.0,-745.767599
121.0,5.0,-354.652923
127.0,5.0,154.516023
133.0,5.0,4.461692
139.0,5.0,-419.584519
145.0,5.0,-295.853492
151.0,5.0,227.454103
157.0,5.0,-641.39178
163.0,5.0,-639.474539
169.0,5.0,-220.561235
175.0,5.0,-255.240805
181.0,5.0,-134.176037
187.0,5.0,-272.862661
193.0,5.0,-152.590757
199.0,5.0,325.610864
0.0,6.0,220.623242
6.0,6.0,488.921369
12.0,6.0,-69.867063
18.0,6.0,-220.181134
24.0,6.0,-381.023527
30.0,6.0,-634.875658
36.0,6.0,-65.593987
42.0,6.0,-224.588886
48.0,6.0,-394.834332
54.0,6.0,-645.35538
60.0,6.0,-424.656628
66.0,6.0,-222.920517
72.0,6.0,14.027646
78.0,6.0,166.287622
84.0,6.0,-509.425213
90.0,6.0,-260.881717
96.0,6.0,-351.017254
102.0,6.0,-397.625634
108.0,6.0,-720.099582
114.0,6.0,-824.912947
120.0,6.0,-315.46833
126.0,6.0,-193.588015
132.0,6.0,185.250707
138.0,6.0,-181.535378
144.0,6.0,-444.163997
150.0,6.0,34.488102
156.0,6.0,-431.783433
162.0,6.0,-809.775653
168.0,6.0,-424.215043
174.0,6.0,-268.1251
180.0,6.0,52.559652
186.0,6.0,-273.516258
192.0,6.0,-9.490989
198.0,6.0,343.010103
5.0,7.0,474.979634
11.0,7.0,122.341471
17.0,7.0,-99.120561
23.0,7.0,-290.600834
29.0,7.0,-540.692186
35.0,7.0,-222.922112
41.0,7.0,-160.147101
47.0,7.0,-281.426514
53.0,7.0,-718.205912
59.0,7.0,-447.343598
65.0,7.0,-256.697075
71.0,7.0,-18.307096
77.0,7.0,255.98468
83.0,7.0,-350.011054
89.0,7.0,-90.67008
95.0,7.0,-306.360899
101.0,7.0,-460.321733
107.0,7.0,-698.734904
113.0,7.0,-824.361589
119.0,7.0,-288.044649
125.0,7.0,-415.580269
131.0,7.0,160.084893
137.0,7.0,149.361714
143.0,7.0,-539.894963
149.0,7.0,121.456313
155.0,7.0,-274.642301
161.0,7.0,-737.165172
167.0,7.0,-343.645536
173.0,7.0,-211.73033
179.0,7.0,62.723742
185.0,7.0,-108.168893
191.0,7.0,-164.202276
197.0,7.0,239.757915
4.0,8.0,423.69887
10.0,8.0,263.727418
16.0,8.0,23.484405
22.0,8.0,-243.464327
28.0,8.0,-383.442378
34.0,8.0,-148.332146
40.0,8.0,-275.106316
46.0,8.0,-94.307577
52.0,8.0,-666.610001
58.0,8.0,-402.322099
64.0,8.0,-202.762603
70.0,8.0,-161.272932
76.0,8.0,433.652139
82.0,8.0,-196.530726
88.0,8.0,27.236759
94.0,8.0,-271.195203
100.0,8.0,-349.460284
106.0,8.0,-643.200888
112.0,8.0,-605.981701
118.0,8.0,-418.131642
124.0,8.0,-411.290371
130.0,8.0,-70.709435
136.0,8.0,226.690941
142.0,8.0,-256.147654
148.0,8.0,156.504944
154.0,8.0,-92.56536
160.0,8.0,-462.960699
166.0,8.0,-549.521146
172.0,8.0,-71.627742
178.0,8.0,-24.253061
184.0,8.0,-53.499678
190.0,8.0,-414.633307
196.0,8.0,-34.820102
3.0,9.0,255.453379
9.0,9.0,287.373451
15.0,9.0,100.276794
21.0,9.0,-279.308757
27.0,9.0,-448.160828
33.0,9.0,-151.166306
39.0,9.0,-212.168723
45.0,9.0,-154.692851
51.0,9.0,-508.89531
57.0,9.0,-375.410396
63.0,9.0,-345.54785
69.0,9.0,-477.42566
75.0,9.0,423.967362
81.0,9.0,-223.078335
87.0,9.0,123.563737
93.0,9.0,-324.027515
99.0,9.0,-243.243215
105.0,9.0,-522.800445
111.0,9.0,-502.390978
117.0,9.0,-497.183042
123.0,9.0,-499.87222
129.0,9.0,-281.907202
135.0,9.0,-185.812678
141.0,9.0,415.416228
147.0,9.0,-238.058839
153.0,9.0,-12.257673
159.0,9.0,-285.118619
165.0,9.0,-568.574554
171.0,9.0,-245.281732
177.0,9.0,-141.763203
183.0,9.0,52.004187
189.0,9.0,-482.159616
195.0,9.0,-203.578167
2.0,10.0,-13.165047
8.0,10.0,307.47507
14.0,10.0,181.35802
20.0,10.0,-276.68373
26.0,10.0,-406.581773
32.0,10.0,-66.608966
38.0,10.0,-61.734775
44.0,10.0,-144.061522
50.0,10.0,-314.79522
56.0,10.0,-346.482132
62.0,10.0,-367.889711
