x,y,val,clust
0.0,0.0,474.224075,0.0
4.0,0.0,634.226889,0.0
8.0,0.0,543.684405,0.0
12.0,0.0,-36.874397,0.0
16.0,0.0,-295.860241,0.0
20.0,0.0,-179.250285,0.0
24.0,0.0,-512.422377,0.0
28.0,0.0,-450.253056,0.0
32.0,0.0,-306.832567,0.0
36.0,0.0,-269.85286,0.0
40.0,0.0,-277.807808,0.0
44.0,0.0,-448.97593,0.0
48.0,0.0,-834.016074,0.0
52.0,0.0,-792.819358,0.0
56.0,0.0,-767.857072,0.0
60.0,0.0,-570.530454,0.0
64.0,0.0,-440.568104,0.0
68.0,0.0,-81.994134,0.0
72.0,0.0,410.148254,3.0
76.0,0.0,727.386687,3.0
80.0,0.0,37.125652,3.0
84.0,0.0,8.115114,3.0
88.0,0.0,-372.073892,3.0
92.0,0.0,-351.902892,3.0
96.0,0.0,-258.137721,3.0
100.0,0.0,-252.379389,3.0
104.0,0.0,-418.693301,3.0
108.0,0.0,-509.47614,3.0
112.0,0.0,-149.963232,3.0
116.0,0.0,-162.879975,3.0
120.0,0.0,-40.037057,3.0
124.0,0.0,-467.913713,3.0
128.0,0.0,-536.922796,3.0
132.0,0.0,-100.3713,1.0
136.0,0.0,194.130635,1.0
140.0,0.0,-80.460222,1.0
144.0,0.0,54.862272,1.0
148.0,0.0,-192.881905,1.0
152.0,0.0,-154.18491,1.0
156.0,0.0,-425.328445,1.0
160.0,0.0,-445.432528,1.0
164.0,0.0,-462.833688,1.0
168.0,0.0,-78.945016,1.0
172.0,0.0,36.804026,2.0
176.0,0.0,-592.861293,2.0
180.0,0.0,-762.878067,2.0
184.0,0.0,-394.644113,2.0
188.0,0.0,-458.894877,2.0
192.0,0.0,-159.284279,2.0
196.0,0.0,-277.883277,2.0
3.0,1.0,621.134468,0.0
7.0,1.0,682.988364,0.0
11.0,1.0,93.67507,0.0
15.0,1.0,-363.506878,0.0
19.0,1.0,-245.055466,0.0
23.0,1.0,-368.544611,0.0
27.0,1.0,-494.400102,0.0
31.0,1.0,-395.289621,0.0
35.0,1.0,-157.078666,0.0
39.0,1.0,-453.353661,0.0
43.0,1.0,-530.259884,0.0
47.0,1.0,-902.332336,0.0
51.0,1.0,-887.283703,0.0
55.0,1.0,-807.936082,0.0
59.0,1.0,-677.388051,0.0
63.0,1.0,-538.058448,0.0
67.0,1.0,-193.617908,0.0
71.0,1.0,201.262991,3.0
75.0,1.0,1039.674493,3.0
