x,y,val,clust
0.0,0.0,474.224075,0.0
6.0,0.0,749.593665,0.0
12.0,0.0,-36.874397,0.0
18.0,0.0,-255.970953,0.0
24.0,0.0,-512.422377,0.0
30.0,0.0,-353.156803,0.0
36.0,0.0,-269.85286,0.0
42.0,0.0,-372.586972,0.0
48.0,0.0,-834.016074,0.0
54.0,0.0,-776.971686,0.0
60.0,0.0,-570.530454,0.0
66.0,0.0,-183.533745,0.0
72.0,0.0,410.148254,3.0
78.0,0.0,306.953297,3.0
84.0,0.0,8.115114,3.0
90.0,0.0,-405.137127,3.0
96.0,0.0,-258.137721,3.0
102.0,0.0,-403.129118,3.0
108.0,0.0,-509.47614,3.0
114.0,0.0,-60.119306,3.0
120.0,0.0,-40.037057,3.0
126.0,0.0,-532.989036,3.0
132.0,0.0,-100.3713,1.0
138.0,0.0,44.65782,1.0
144.0,0.0,54.862272,1.0
150.0,0.0,-257.659604,1.0
156.0,0.0,-425.328445,1.0
162.0,0.0,-385.36112,1.0
168.0,0.0,-78.945016,1.0
174.0,0.0,-418.979534,2.0
180.0,0.0,-762.878067,2.0
186.0,0.0,-386.242755,2.0
192.0,0.0,-159.284279,2.0
198.0,0.0,-39.921405,2.0
5.0,1.0,695.238031,0.0
11.0,1.0,93.67507,0.0
17.0,1.0,-280.582936,0.0
23.0,1.0,-368.544611,0.0
29.0,1.0,-422.596946,0.0
35.0,1.0,-157.078666,0.0
41.0,1.0,-405.154015,0.0
47.0,1.0,-902.332336,0.0
53.0,1.0,-769.317355,0.0
59.0,1.0,-677.388051,0.0
65.0,1.0,-268.60293,0.0
71.0,1.0,201.262991,3.0
77.0,1.0,494.925935,3.0
83.0,1.0,-141.565533,3.0
89.0,1.0,-481.856197,3.0
95.0,1.0,-428.033593,3.0
101.0,1.0,-415.118207,3.0
107.0,1.0,-511.931728,3.0
113.0,1.0,-116.69627,3.0
119.0,1.0,-207.56239,3.0
125.0,1.0,-322.327174,3.0
131.0,1.0,-276.961617,3.0
137.0,1.0,142.002532,1.0
143.0,1.0,-24.745336,1.0
149.0,1.0,-132.394629,1.0
155.0,1.0,-491.2417,1.0
161.0,1.0,-552.482426,1.0
167.0,1.0,-389.302605,1.0
173.0,1.0,-182.470585,2.0
179.0,1.0,-741.947155,2.0
185.0,1.0,-413.107599,2.0
191.0,1.0,-393.093982,2.0
197.0,1.0,-217.627958,2.0
4.0,2.0,546.320071,0.0
10.0,2.0,304.749845,0.0
16.0,2.0,-328.573169,0.0
22.0,2.0,-308.543502,0.0
28.0,2.0,-524.460075,0.0
34.0,2.0,-222.66779,0.0
40.0,2.0,-493.536874,0.0
46.0,2.0,-866.284542,0.0
52.0,2.0,-741.551645,0.0
58.0,2.0,-758.138494,0.0
64.0,2.0,-349.714978,0.0
70.0,2.0,109.882826,3.0
76.0,2.0,653.766291,3.0
82.0,2.0,-110.070171,3.0
88.0,2.0,-475.325693,3.0
94.0,2.0,-465.607626,3.0
100.0,2.0,-321.034092,3.0
106.0,2.0,-398.174171,3.0
112.0,2.0,-368.941656,3.0
118.0,2.0,-326.686436,3.0
124.0,2.0,-215.529366,3.0
130.0,2.0,-106.959931,3.0
136.0,2.0,81.757014,1.0
142.0,2.0,-222.124311,1.0
148.0,2.0,76.915798,1.0
154.0,2.0,-497.932693,1.0
160.0,2.0,-623.052727,1.0
166.0,2.0,-450.623618,1.0
172.0,2.0,-284.73481,2.0
178.0,2.0,-644.477731,2.0
184.0,2.0,-451.994186,2.0
190.0,2.0,-613.131666,2.0
196.0,2.0,-321.352338,2.0
3.0,3.0,416.233718,0.0
9.0,3.0,332.979326,0.0
15.0,3.0,-261.212836,0.0
