x,y,val,clust
0.0,0.0,474.224075,0.0
8.0,0.0,543.684405,0.0
16.0,0.0,-295.860241,0.0
24.0,0.0,-512.422377,0.0
32.0,0.0,-306.832567,0.0
40.0,0.0,-277.807808,0.0
48.0,0.0,-834.016074,0.0
56.0,0.0,-767.857072,0.0
64.0,0.0,-440.568104,0.0
72.0,0.0,410.148254,3.0
80.0,0.0,37.125652,3.0
88.0,0.0,-372.073892,3.0
96.0,0.0,-258.137721,3.0
104.0,0.0,-418.693301,3.0
112.0,0.0,-149.963232,3.0
120.0,0.0,-40.037057,3.0
128.0,0.0,-536.922796,3.0
136.0,0.0,194.130635,1.0
144.0,0.0,54.862272,1.0
152.0,0.0,-154.18491,1.0
160.0,0.0,-445.432528,1.0
168.0,0.0,-78.945016,1.0
176.0,0.0,-592.861293,2.0
184.0,0.0,-394.644113,2.0
192.0,0.0,-159.284279,2.0
7.0,1.0,682.988364,0.0
15.0,1.0,-363.506878,0.0
23.0,1.0,-368.544611,0.0
31.0,1.0,-395.289621,0.0
39.0,1.0,-453.353661,0.0
47.0,1.0,-902.332336,0.0
55.0,1.0,-807.936082,0.0
63.0,1.0,-538.058448,0.0
71.0,1.0,201.262991,3.0
79.0,1.0,221.533581,3.0
87.0,1.0,-401.30109,3.0
95.0,1.0,-428.033593,3.0
103.0,1.0,-471.260221,3.0
111.0,1.0,-435.581146,3.0
119.0,1.0,-207.56239,3.0
127.0,1.0,-369.46331,3.0
135.0,1.0,154.75282,1.0
143.0,1.0,-24.745336,1.0
151.0,1.0,-178.126555,1.0
159.0,1.0,-584.719363,1.0
167.0,1.0,-389.302605,1.0
175.0,1.0,-600.402824,2.0
183.0,1.0,-588.105178,2.0
191.0,1.0,-393.093982,2.0
199.0,1.0,140.971135,2.0
6.0,2.0,636.819659,0.0
14.0,2.0,-339.793805,0.0
22.0,2.0,-308.543502,0.0
30.0,2.0,-489.537949,0.0
38.0,2.0,-385.471731,0.0
46.0,2.0,-866.284542,0.0
54.0,2.0,-642.391992,0.0
62.0,2.0,-474.525323,0.0
70.0,2.0,109.882826,3.0
78.0,2.0,314.957705,3.0
86.0,2.0,-386.825535,3.0
94.0,2.0,-465.607626,3.0
102.0,2.0,-475.231743,3.0
110.0,2.0,-616.895036,3.0
118.0,2.0,-326.686436,3.0
126.0,2.0,-184.351821,3.0
134.0,2.0,-111.579532,1.0
142.0,2.0,-222.124311,1.0
150.0,2.0,-38.13988,1.0
158.0,2.0,-698.9366,1.0
166.0,2.0,-450.623618,1.0
174.0,2.0,-444.925951,2.0
182.0,2.0,-672.883836,2.0
190.0,2.0,-613.131666,2.0
198.0,2.0,-260.520963,2.0
5.0,3.0,637.964308,0.0
13.0,3.0,-318.828084,0.0
21.0,3.0,-283.500679,0.0
29.0,3.0,-570.988468,0.0
37.0,3.0,-165.224073,0.0
45.0,3.0,-662.601625,0.0
53.0,3.0,-630.204898,0.0
61.0,3.0,-468.440649,0.0
69.0,3.0,22.475374,0.0
77.0,3.0,452.382242,3.0
85.0,3.0,-453.617325,3.0
93.0,3.0,-449.170623,3.0
101.0,3.0,-505.862818,3.0
109.0,3.0,-609.627525,3.0
117.0,3.0,-464.676743,3.0
125.0,3.0,48.962097,3.0
133.0,3.0,-8.445853,1.0
141.0,3.0,-367.652247,1.0
149.0,3.0,166.472395,1.0
157.0,3.0,-799.88764,1.0
165.0,3.0,-697.441316,1.0
173.0,3.0,-424.878274,2.0
181.0,3.0,-636.257718,2.0
189.0,3.0,-524.349584,2.0
197.0,3.0,-403.096189,2.0
4.0,4.0,566.006328,0.0
12.0,4.0,-249.533889,0.0
20.0,4.0,-166.041975,0.0
