x,y,val,clust
0.000000,0.000000,474.224075,0.000000
6.000000,0.000000,749.593665,0.000000
11.000000,0.000000,131.113667,0.000000
17.000000,0.000000,-270.998116,0.000000
23.000000,0.000000,-432.319171,0.000000
28.000000,0.000000,-450.253056,0.000000
34.000000,0.000000,-184.689399,0.000000
40.000000,0.000000,-277.807808,0.000000
45.000000,0.000000,-564.117043,0.000000
51.000000,0.000000,-829.348029,0.000000
57.000000,0.000000,-704.048944,0.000000
62.000000,0.000000,-497.857909,0.000000
68.000000,0.000000,-81.994134,0.000000
74.000000,0.000000,1049.973414,3.000000
79.000000,0.000000,164.046319,3.000000
85.000000,0.000000,-108.100714,3.000000
91.000000,0.000000,-322.244212,3.000000
96.000000,0.000000,-258.137721,3.000000
102.000000,0.000000,-403.129118,3.000000
107.000000,0.000000,-428.512421,3.000000
113.000000,0.000000,-83.166915,3.000000
119.000000,0.000000,-305.671030,3.000000
124.000000,0.000000,-467.913713,3.000000
130.000000,0.000000,-341.430387,3.000000
136.000000,0.000000,194.130635,1.000000
141.000000,0.000000,-230.830118,1.000000
147.000000,0.000000,-63.347761,1.000000
153.000000,0.000000,-289.888395,1.000000
158.000000,0.000000,-539.599303,1.000000
164.000000,0.000000,-462.833688,1.000000
170.000000,0.000000,-104.845376,2.000000
175.000000,0.000000,-579.418403,2.000000
181.000000,0.000000,-704.204139,2.000000
187.000000,0.000000,-414.743937,2.000000
192.000000,0.000000,-159.284279,2.000000
198.000000,0.000000,-39.921405,2.000000
5.000000,1.000000,695.238031,0.000000
10.000000,1.000000,344.548564,0.000000
16.000000,1.000000,-331.765502,0.000000
22.000000,1.000000,-283.777047,0.000000
27.000000,1.000000,-494.400102,0.000000
33.000000,1.000000,-333.734487,0.000000
39.000000,1.000000,-453.353661,0.000000
44.000000,1.000000,-545.623301,0.000000
50.000000,1.000000,-903.467955,0.000000
56.000000,1.000000,-811.693758,0.000000
61.000000,1.000000,-495.168775,0.000000
67.000000,1.000000,-193.617908,0.000000
73.000000,1.000000,766.500787,3.000000
78.000000,1.000000,383.531537,3.000000
84.000000,1.000000,-225.492388,3.000000
90.000000,1.000000,-425.950346,3.000000
95.000000,1.000000,-428.033593,3.000000
101.000000,1.000000,-415.118207,3.000000
106.000000,1.000000,-359.975477,3.000000
112.000000,1.000000,-245.887194,3.000000
118.000000,1.000000,-251.322814,3.000000
123.000000,1.000000,-437.307612,3.000000
129.000000,1.000000,-314.544185,3.000000
135.000000,1.000000,154.752820,1.000000
140.000000,1.000000,-135.940050,1.000000
146.000000,1.000000,-9.118723,1.000000
152.000000,1.000000,-242.703643,1.000000
157.000000,1.000000,-634.489336,1.000000
163.000000,1.000000,-515.243739,1.000000
169.000000,1.000000,-317.286915,1.000000
174.000000,1.000000,-430.755898,2.000000
180.000000,1.000000,-756.420653,2.000000
186.000000,1.000000,-391.920940,2.000000
191.000000,1.000000,-393.093982,2.000000
197.000000,1.000000,-217.627958,2.000000
4.000000,2.000000,546.320071,0.000000
9.000000,2.000000,458.838499,0.000000
15.000000,2.000000,-304.138980,0.000000
21.000000,2.000000,-272.019182,0.000000
26.000000,2.000000,-479.976245,0.000000
32.000000,2.000000,-501.042357,0.000000
38.000000,2.000000,-385.471731,0.000000
43.000000,2.000000,-564.907274,0.000000
49.000000,2.000000,-783.191598,0.000000
55.000000,2.000000,-749.451485,0.000000
60.000000,2.000000,-566.599878,0.000000
66.000000,2.000000,-64.453348,0.000000
72.000000,2.000000,510.820492,3.000000
77.000000,2.000000,484.868703,3.000000
83.000000,2.000000,-209.224154,3.000000
89.000000,2.000000,-438.816199,3.000000
94.000000,2.000000,-465.607626,3.000000
100.000000,2.000000,-321.034092,3.000000
105.000000,2.000000,-253.282441,3.000000
111.000000,2.000000,-553.768776,3.000000
117.000000,2.000000,-342.782839,3.000000
122.000000,2.000000,-319.216001,3.000000
128.000000,2.000000,-140.156856,3.000000
134.000000,2.000000,-111.579532,1.000000
139.000000,2.000000,-189.582659,1.000000
145.000000,2.000000,-193.376825,1.000000
151.000000,2.000000,-120.316064,1.000000
156.000000,2.000000,-645.131965,1.000000
162.000000,2.000000,-649.312860,1.000000
168.000000,2.000000,-319.977125,1.000000
173.000000,2.000000,-329.651346,2.000000
179.000000,2.000000,-615.409291,2.000000
185.000000,2.000000,-333.299848,2.000000
190.000000,2.000000,-613.131666,2.000000
196.000000,2.000000,-321.352338,2.000000
3.000000,3.000000,416.233718,0.000000
8.000000,3.000000,371.884294,0.000000
14.000000,3.000000,-285.100351,0.000000
20.000000,3.000000,-223.639906,0.000000
25.000000,3.000000,-448.919000,0.000000
31.000000,3.000000,-532.118557,0.000000
37.000000,3.000000,-165.224073,0.000000
42.000000,3.000000,-566.891983,0.000000
48.000000,3.000000,-795.767135,0.000000
54.000000,3.000000,-580.554656,0.000000
59.000000,3.000000,-670.192044,0.000000
65.000000,3.000000,-48.957117,0.000000
71.000000,3.000000,214.086222,3.000000
76.000000,3.000000,629.629187,3.000000
82.000000,3.000000,-251.803458,3.000000
88.000000,3.000000,-481.042825,3.000000
93.000000,3.000000,-449.170623,3.000000
99.000000,3.000000,-242.416623,3.000000
104.000000,3.000000,-215.385550,3.000000
110.000000,3.000000,-594.375634,3.000000
116.000000,3.000000,-512.264038,3.000000
121.000000,3.000000,-151.327318,3.000000
127.000000,3.000000,-8.391020,3.000000
133.000000,3.000000,-8.445853,1.000000
138.000000,3.000000,-337.948409,1.000000
144.000000,3.000000,-304.399582,1.000000
150.000000,3.000000,208.953231,1.000000
155.000000,3.000000,-562.799088,1.000000
161.000000,3.000000,-730.906792,1.000000
167.000000,3.000000,-289.646541,1.000000
172.000000,3.000000,-347.809094,2.000000
178.000000,3.000000,-541.778837,2.000000
184.000000,3.000000,-449.356053,2.000000
189.000000,3.000000,-524.349584,2.000000
195.000000,3.000000,-354.329580,2.000000
2.000000,4.000000,441.472760,0.000000
7.000000,4.000000,382.292969,0.000000
